"scenario","US_phase_pol","US_price_pol","US_cp_pol","CN_phase_pol","CN_price_pol","CN_cp_pol","IN_phase_pol","IN_price_pol","IN_cp_pol","RGS_phase_pol","RGS_price_pol","RGS_cp_pol","RGN_phase_pol","RGN_price_pol","RGN_cp_pol","learning_solar","learning_wind","lifetime_solar","lifetime_wind","lead_offshore","lead_onshore","lead_solar","lead_commission","lead_ccgt","lead_coal","cf_wind","cf_solar","discr","elec_demand","ccgt_price","coal_price","tech_potential"
"S3_11",0.62,0.38,0.9,0.88,0.94,0.37,0.9,0.54,0.13,0.91,0.24,0.08,0.51,0.67,0.77,0.854651162790698,0.231707317073171,0.906,0.4917,0.972,0.582,0.678787878787879,0.992,0.767,0.919,0.950909090909091,0.0872972972972973,0.216,0.391,0.88,0.727,0.436
"S3_12",0.14,0.8,0.2,0.6,0.51,0.03,0.12,0.4,0.63,0.12,0.98,0.83,0.58,0.33,0.95,0.709302325581395,0.23780487804878,0.4354,0.0667000000000002,0.5415,0.963,0.960606060606061,0.305,0.72,0.0329999999999999,0.197272727272727,0.0186486486486486,0.211,0.948,0.859,0.593,0.23
"S3_13",0.51,0.86,0.24,0.44,0.85,0.04,0.2,0.24,0.42,0.68,0.42,0.52,0.58,0.37,0.87,0.261627906976744,0.524390243902439,0.0263999999999999,0.0135000000000002,0.8165,0.354,0.492929292929293,0.56,0.871,0.658,0.214545454545455,0.211891891891892,0.859,0.758,0.3,0.576,0.611
"S3_14",0.74,0.11,0.19,0.77,0.31,0.98,1,0.1,0.3,0.3,0.99,0.97,0.45,0.11,0.85,0.726744186046511,0.0426829268292683,0.2981,0.9143,0.9795,0.0760000000000001,0.133333333333333,0.107,0.052,0.63,0.58,0.165135135135135,0.004,0.323,0.262,0.672,0.641
"S3_15",0.07,0.23,0.79,0.52,0.72,0.25,0.1,0.31,0.82,0.28,0.4,0.49,0.02,0.25,0.06,0.244186046511628,0.213414634146341,0.1254,0.3285,0.625,0.749,0.795959595959596,0.952,0.261,0.501,0.87,0.0678378378378377,0.853,0.236,0.019,0.208,0.201
"S3_16",0.65,0.34,0.6,0.96,0.3,0.83,0.99,0.47,0.53,0.44,0.01,0.17,0.69,0.68,0.21,0.63953488372093,0.463414634146341,0.4772,0.6102,0.7605,0.357,0.564646464646465,0.233,0.522,0.753,0.622727272727273,0.54972972972973,0.985,0.454,0.054,0.675,0.974
"S3_17",0.96,0.99,0.24,0.61,0.16,0.88,0.23,0.95,0.27,0.22,0.4,0.62,0.16,0.51,0.62,0.465116279069767,0.146341463414634,0.8769,0.2061,0.0485,0.0169999999999999,0.117171717171717,0.058,0.0129999999999999,0.123,0.0272727272727273,0.204864864864865,0.268,0.837,0.227,0.987,0.79
"S3_18",0.06,0.23,0,0.29,0.78,0.44,0.15,0.84,0.72,0.56,0.43,0.98,0.11,0.51,0.2,0.343023255813953,0.780487804878049,0.1072,0.5203,0.3695,0.644,0.214141414141414,0.64,0.797,0.658,0.687272727272727,0.605405405405405,0.192,0.128,0.35,0.997,0.123
"S3_19",0.63,0.63,0.66,0.65,0.99,0.5,0.61,0.96,0.81,0.89,0.5,0.29,0.85,0.03,0.35,0.337209302325581,0.530487804878049,0.3201,0.2722,0.58,0.794,0.581818181818182,0.896,0.032,0.903,0.540909090909091,0.806216216216216,0.042,0.103,0.842,0.643,0.406
"S3_20",0.58,0.01,0.78,0.3,0.71,0.51,0.97,0.85,0.4,0.61,0.28,0.69,0.71,0.83,0.05,0.872093023255814,0.871951219512195,0.6845,0.55,0.932,0.178,0.542424242424242,0.851,0.0209999999999999,0.396,0.740909090909091,0.815405405405405,0.121,0.993,0.661,0.962,0.288
"S3_21",0.95,0.72,0.87,0.84,0.26,0.09,0.59,0.59,0.95,0.16,0.25,0.75,0.23,0.84,0.51,0.988372093023256,0.945121951219512,0.8914,0.421,0.6395,0.984,0.980808080808081,0.391,0.565,0.843,0.716363636363636,0.132972972972973,0.243,0.568,0.889,0.253,0.548
"S3_22",0.96,0.62,0.49,0.49,0.09,0.95,0.54,0.04,0.36,0.8,0.79,0.82,0.55,0.59,0.96,0.476744186046511,0.98780487804878,0.0794000000000001,0.3554,0.8565,0.075,0.905050505050505,0.339,0.156,0.103,0.638181818181818,0.914864864864865,0.83,0.858,0.135,0.685,0.729
"S3_23",0.84,0.29,0.42,0.21,0.41,0.65,0.91,0.7,0.38,0.03,0.03,0.61,0.35,0.57,0.89,0.430232558139535,0.652439024390244,0.7234,0.8687,0.5295,0.125,0.651515151515151,0.454,0.032,0.566,0.141818181818182,0.618108108108108,0.178,0.068,0.785,0.242,0.723
"S3_24",0.14,0.88,0.47,0.62,0.2,0.69,0.33,0.62,0.77,0.78,0.07,0.61,0.75,0.56,0.32,0.377906976744186,0.50609756097561,0.6065,0.4699,0.651,0.767,0.527272727272727,0.557,0.956,0.832,0.147272727272727,0.713783783783784,0.36,0.995,0.122,0.881,0.385
"S3_25",0.39,0.61,0.75,0.49,0.6,0.21,0.97,0.74,0.21,0.98,0.52,0.93,0.5,0.87,0.21,0.290697674418604,0.280487804878049,0.5137,0.41,0.4635,0.757,0.708080808080808,0.696,0.599,0.197,0.865454545454545,0.577027027027027,0.913,0.575,0.829,0.781,0.325
"S3_26",0.83,0.02,0.96,0.04,0.61,0.97,0.37,0.85,0.91,0.03,0.32,0.49,0.15,0.31,0.41,0.0174418604651161,0.975609756097561,0.2795,0.4758,0.427,0.312,0.628282828282828,0.214,0.817,0.756,0.504545454545455,0.287837837837838,0.691,0.62,0.653,0.463,0.045
"S3_27",0.39,0.59,0.26,0.69,0.11,0.95,0.36,0.98,0.43,0.76,0.83,0.01,0.72,0.46,0.82,0.36046511627907,0.768292682926829,0.3459,0.3023,0.142,0.918,0.0505050505050506,0.86,0.489,0.409,0.25,0.394864864864865,0.602,0.163,0.749,0.696,1
"S3_28",0.74,0.73,0.74,0.85,0.44,0.16,0.66,0.26,0.87,0.31,0.16,0.91,0.01,0.89,0.2,0.703488372093023,0.542682926829268,0.4381,0.9692,0.5575,0.858,0.728282828282828,0.631,0.779,0.449,0.55,0.245945945945946,0.938,0.533,0.223,0.193,0.984
"S3_29",0.31,0.51,0.87,0.47,0.18,0.69,0.07,0.65,0.71,0.73,0.9,0.37,0.86,0.83,0.31,0.558139534883721,0.890243902439024,0.6465,0.6174,0.285,0.578,0.192929292929293,0.268,0.247,0.731,0.544545454545455,0.962702702702703,0.219,0.026,0.11,0.139,0.086
"S3_30",0.45,0.65,0.67,0.42,0.54,0.49,0.01,0.26,0.52,0.89,0.21,0.36,0.21,0.55,0.09,0.918604651162791,0.74390243902439,0.9203,0.8972,0.7985,0.938,0.0626262626262626,0.549,0.135,0.136,0.0627272727272727,0.170810810810811,0.108,0.411,0.613,0.123,0.636
"S3_31",0.86,0.89,0.07,0.78,0.85,0.45,0.88,0,0.42,0.24,0.93,0.5,0.83,0.39,0.64,0.0523255813953487,0.603658536585366,0.9242,0.1947,0.8755,0.216,0.606060606060606,0.647,0.908,0.643,0.356363636363636,0.260540540540541,0.485,0.194,0.765,0.928,0.937
"S3_32",0.18,0.08,0.05,0.21,0.34,0.78,0.31,0.49,0.68,0.19,0.25,0.79,0.19,0.98,0.44,0.540697674418605,0.286585365853659,0.00919999999999987,0.5763,0.5515,0.189,0.637373737373737,0.426,0.997,0.759,0.404545454545455,0.373243243243243,0.568,0.525,0.358,0.354,0.298
"S3_33",0.1,0.94,0.7,0.05,0.35,0.48,0.58,0.78,0.55,0.15,0.09,0.16,0.32,0.98,0.72,0.104651162790698,0.481707317073171,0.8083,0.2275,0.2635,0.083,0.726262626262626,0.643,0.02,0.0419999999999998,0.648181818181818,0.0405405405405404,0.177,0.224,0.62,0.52,0.028
"S3_34",0.83,0.44,0.33,0.21,0.44,0.1,0.39,0.61,0.78,0.01,0.14,0.06,0.41,0.21,0.49,0.720930232558139,0.591463414634146,0.3437,0.0997,0.8065,0.586,0.588888888888889,0.301,0.293,0.416,0.210909090909091,0,0.086,0.344,0.836,0.444,0.489
"S3_35",0.3,0.47,0.83,0.7,0.9,0.91,0.36,0.99,0.29,0.42,0.27,0.08,0.74,0.46,0.28,0.494186046511628,0.99390243902439,0.8196,0.659,0.643,0.253,0.305050505050505,0.388,0.589,0.711,0.772727272727273,0.628108108108108,0.388,0.434,0.802,0.718,0.529
"S3_36",0.11,0.35,0.73,0.77,0.22,0.94,0.3,0.77,0,0.33,0.86,0.6,0.4,0.29,0.55,0.226744186046512,0.280487804878049,0.4265,0.4646,0.909,0.651,0.433333333333333,0.822,0.657,0.8,0.836363636363636,0.427567567567568,0.662,0.057,0.42,0.172,0.794
"S3_37",0.09,0.62,0.93,0.22,0.44,0.18,0.64,0.69,0.04,0.95,0.47,0.73,0.86,0.54,0.07,0.331395348837209,0.189024390243902,0.0518000000000001,0.9438,0.5865,0.114,0.929292929292929,0.926,0.417,0.149,0.288181818181818,0.821621621621622,0.537,0.31,0.233,0.91,0.006
"S3_38",0.35,0.16,0.57,0.02,0.13,0.93,0.59,0.73,0.32,0.29,0.11,0.29,0.66,0.43,0.92,0.302325581395349,0.341463414634146,0.9479,0.1752,0.6345,0.502,0.154545454545455,0.281,0.111,0.153,0.132727272727273,0.53027027027027,0.712,0.796,0.195,0.623,0.313
"S3_39",0.55,0.07,0.42,0.65,0.23,0.46,0.9,0.42,0.51,0.7,0.49,0.93,0.54,0.27,0.85,0.122093023255814,0.536585365853659,0.1843,0.6998,0.582,0.0489999999999999,0.552525252525252,0.805,0.86,0.41,0.840909090909091,0.862702702702703,0.535,0.432,0.49,0.731,0.371
"S3_40",0.93,0.92,0.38,0.27,0.49,0.93,0.93,0.69,1,0.02,0.99,0.68,0.01,0.98,0.71,0.354651162790698,0.115853658536585,0.5542,0.0864000000000001,0.821,0.792,0.431313131313131,0.873,0.147,0.016,0.0645454545454545,0.231081081081081,0.032,0.353,0.358,0.392,0.191
"S3_41",0.43,0.17,0.07,1,0.45,0.19,0.33,0.07,0.76,0.11,0.77,0.42,0.03,0.29,0.74,0.546511627906977,0.658536585365854,0.1984,0.0141999999999999,0.5925,0.264,0.682828282828283,0.175,0.814,0.0270000000000001,0.421818181818182,0.111351351351351,0.877,0.403,0.937,0.342,0.695
"S3_42",0.5,0.82,0.72,0.86,0.64,0.81,0.74,0.08,0.28,0.01,0.07,0.36,0.78,0.23,0.24,0.401162790697674,0.762195121951219,0.3904,0.3497,0.401,0.732,0.58989898989899,0.197,0.869,0.839,0.939090909090909,0.754864864864865,0.073,0.513,0.353,0.176,0.564
"S3_43",0.63,0.06,0.01,0.07,0.13,0.11,0.68,0.09,0.2,0.35,0.46,0.42,0.01,0.1,0.85,0.0406976744186045,0.573170731707317,0.6351,0.8767,0.2835,0.403,0.487878787878788,0.769,0.971,0.272,0.332727272727273,0.98027027027027,0.897,0.923,0.171,0.625,0.93
"S3_44",0.01,0.51,0.68,0.59,0.4,0.58,0.57,0.99,0.85,0.72,0.86,0.04,0.61,0.81,0.96,0.703488372093023,0.170731707317073,0.2743,0.1219,0.346,0.324,0.0404040404040404,0.469,0.223,0.504,0.915454545454546,0.275135135135135,0.531,0.042,0.649,0.747,0.266
"S3_45",0.55,0.42,0.61,0.94,0.15,0.82,0.42,0.23,0.79,0.84,0.72,0.38,0.82,0.8,0.89,0.813953488372093,0.786585365853658,0.1304,0.00760000000000005,0.2565,0.571,0.426262626262626,0.249,0.516,0.02,0.182727272727273,0.431891891891892,0.683,0.557,0.142,0.761,0.996
"S3_46",0.93,0.91,0.52,0.49,0.84,0.46,0.2,0.66,0.29,0.33,0.78,0.05,0.63,0.9,0.22,0.412790697674418,0.798780487804878,0.0132999999999999,0.8495,0.8115,0.121,0.873737373737374,0.78,0.848,0.365,0.19,0.921081081081081,0.768,0.187,0.444,0.112,0.928
"S3_47",0.11,0.34,0.8,0.14,0.77,0.26,0.55,0.66,0.1,0.79,0.6,0.2,0.38,0.94,0.71,0.808139534883721,0.024390243902439,0.4884,0.759,0.8325,0.432,0.00101010101010101,0.073,0.191,0.492,0.59,0.12,0.449,0.925,0.844,0.027,0.49
"S3_48",0.48,0.06,0.33,0.9,0.38,0.09,0.22,0.94,0.55,0.6,0.14,0.48,0.2,0.96,0.92,0.540697674418605,0.969512195121951,0.572,0.7601,0.456,0.59,0.919191919191919,0.892,0.00499999999999989,0.795,0.144545454545455,0.486216216216216,0.646,0.443,0.719,0.384,0.441
"S3_49",0.44,0.46,0.59,0.83,0.12,0.53,0.83,0.87,0.74,0.87,0.87,0.34,0.77,0.56,0.95,0.366279069767442,0.902439024390244,0.0629000000000001,0.2008,0.739,0.0429999999999999,0.363636363636364,0.07,0.919,0.746,0.45,0.177297297297297,0.772,0.418,0.558,0.386,0.069
"S3_50",0.1,0.11,0.03,0.75,0.03,0.01,0.15,0.22,0.62,0.75,0.08,0.45,0.26,0.82,0.31,0.994186046511628,0.51219512195122,0.9873,0.9537,0.4385,0.201,0.150505050505051,0.146,0.0720000000000001,0.135,0.273636363636364,0.0954054054054053,0.083,0.073,0.032,0.432,0.092
"S3_51",0.12,0.98,0.39,0.53,0.51,0.38,0.35,0.31,0.72,0.81,0.75,0.75,0.1,0.92,0.56,0.470930232558139,0.932926829268293,0.4361,0.0623999999999999,0.1075,0.653,0.344444444444444,0.751,0.693,0.584,0.0945454545454546,0.702702702702703,0.357,0.645,0.376,0.461,0.276
"S3_52",0.47,0.71,0.61,0.63,0.31,0.85,0.08,0.72,0.15,0.33,0.17,0.93,0.13,0.86,0.75,0.819767441860465,0.615853658536585,0.1689,0.7957,0.0529999999999999,0.858,0.0121212121212121,0.354,0.428,0.378,0.417272727272727,0.679189189189189,0.785,0.52,0.448,0.166,0.807
"S3_53",0.08,0.88,0.06,0.47,0.6,0.14,0.62,0.24,0.94,0.09,0.02,0.78,0.41,0.05,0.12,0.0930232558139534,0.182926829268293,0.553,0.6809,0.97,0.672,0.0747474747474747,0.362,0.292,0.321,0.16,0.617297297297297,0.176,0.351,0.928,0.971,0.964
"S3_54",0.31,0.6,0.17,0.91,0.83,0.94,0.46,0.41,0.23,0.57,0.28,0.22,0.07,0.37,0.18,0.308139534883721,0.719512195121951,0.0427,0.6837,0.6925,0.866,0.958585858585859,0.783,0.827,0.992,0.572727272727273,0.847027027027027,0.255,0.733,0.13,0.619,0.637
"S3_55",0.59,0.3,0.58,0.78,0.02,0.32,0.76,0.71,0.88,0.32,0.24,0.44,0.07,0.64,0.74,0.296511627906976,0.628048780487805,0.5816,0.4474,0.224,0.333,0.404040404040404,0.877,0.544,0.816,0.798181818181818,0.824324324324324,0.794,0.938,0.083,0.469,0.763
"S3_56",0,0.06,0.76,0.17,0.72,0.98,0.51,0.16,0.44,0.12,0.17,0.97,0.21,0.09,0.39,0.343023255813953,0.207317073170732,0.9504,0.5236,0.451,0.0389999999999999,0.654545454545454,0.579,0.851,0.238,0.969090909090909,0.873513513513513,0.951,0.086,0.508,0.975,0.432
"S3_57",0.05,0.14,0.13,0.8,0.74,0.41,0.75,0.07,0.37,0.18,0.44,0.79,0.05,0.09,0.62,0.191860465116279,0.621951219512195,0.9858,0.2808,0.2355,0.106,0.263636363636364,0.827,0.00299999999999989,0.751,0.108181818181818,0.316756756756757,0.147,0.286,0.642,0.673,0.645
"S3_58",0.91,0.58,0.22,0.67,0.9,0.67,0.01,0.39,0.98,0.23,0.83,0.2,0.05,0.18,0.62,0.0465116279069766,0.579268292682927,0.1151,0.7707,0.8685,0.553,0.11010101010101,0.755,0.0469999999999999,0.94,0.511818181818182,0.514594594594595,0.643,0.587,0.774,0.801,0.247
"S3_59",0.54,0.17,0.29,0.18,0.46,0.4,0.98,0.12,0.78,0.17,0.51,0.35,0.42,0.52,0.18,0.697674418604651,0.634146341463415,0.0559000000000001,0.4541,0.7195,0.6,0.5,0.445,0.711,0.291,0.89,0.352702702702703,0.133,0.501,0.062,0.646,0.954
"S3_60",0.57,0.07,0.25,0.76,0.98,0.21,0.55,0.22,0.57,0.3,0.56,0.1,0.87,0.91,0.57,0.0058139534883721,0.731707317073171,0.4218,0.461,0.891,0.0109999999999999,0.61010101010101,0.903,0.383,0.0550000000000002,0.194545454545454,0.298918918918919,0.977,0.228,0.298,0.733,0.151
"S3_61",0.99,0.58,0.93,0.24,0.97,0.79,0.54,0.75,0.05,0.88,0.59,0.11,0.69,0.61,0.33,0.953488372093023,0.51219512195122,0.1109,0.2825,0.666,0.559,0.00202020202020202,0.916,0.795,0.314,0.774545454545455,0.480810810810811,0.06,0.567,0.789,0.958,0.609
"S3_62",0.38,0.2,0.45,0.99,0.15,0.64,0.62,0.15,0.34,0.15,0.18,0.3,0.4,0.97,0.65,0.104651162790698,0.195121951219512,0.7622,0.4455,0.7275,0.17,0.286868686868687,0.306,0.887,0.247,0.953636363636364,0.96,0.184,0.843,0.945,0.154,0.924
"S3_63",0.46,0.3,0.92,0.64,0.24,0.35,0.58,0.5,0.79,0.84,0.83,0.52,0.08,1,0.89,0.284883720930232,0.414634146341463,0.9137,0.3438,0.4885,0.637,0.681818181818182,0.463,0.518,0.728,0.0927272727272728,0.716216216216216,0.658,0.442,0.539,0.079,0.748
"S3_64",0.54,0.63,0.68,0.44,0.22,0.76,0.48,0.89,0.05,0.44,0.45,0.08,0.24,0.55,0.09,0.575581395348837,0.835365853658536,0.1329,0.0407,0.4045,0.247,0.936363636363636,0.671,0.69,0.204,0.499090909090909,0.27027027027027,0.867,0.035,0.379,0.33,0.901
"S3_65",0.51,0.11,0.78,0.23,0.35,0.4,0.46,0.13,0.01,0.72,0.54,0.47,0.43,0.72,0.37,0.238372093023256,0.25609756097561,0.2514,0.1657,0.244,0.191,0.324242424242424,0.23,0.908,0.686,0.54,0.925675675675676,0.118,0.373,0.585,0.742,0.413
"S3_66",0.89,0.44,0.24,0.89,0.61,0.7,0.35,0.22,0.95,0.25,0.62,0.3,0.96,0.06,0.63,0.988372093023256,0.981707317073171,0.7882,0.6366,0.375,0.595,0.909090909090909,0.753,0.406,0.702,0.457272727272727,0.145405405405405,0.577,0.03,0.627,0.417,0.72
"S3_67",0.37,0.87,0.75,0.32,0.93,0.76,0.85,0.95,0.35,0.73,0.59,0.07,0.59,0.34,0.88,0.0058139534883721,0.189024390243902,0.6507,0.0356000000000002,0.3195,0.306,0.987878787878788,0.099,0.704,0.53,0.512727272727273,0.554864864864865,0.172,0.37,0.602,0.72,0.409
"S3_68",0.18,0.8,0.41,0.37,0.81,0.47,0.99,0.14,0.67,0.83,0.41,0.62,0.77,0.94,0.9,0.587209302325581,0.713414634146341,0.4993,0.6556,0.256,0.0649999999999999,0.447474747474747,0.566,0.23,0.496,0.0754545454545454,0.182702702702703,0.522,0.702,0.786,0.546,0.048
"S3_69",0.91,0.67,0.01,0.54,0.19,0.03,0.76,0.88,0.6,0.51,0.73,0.63,0.16,0.53,0.37,0.279069767441861,0.0304878048780488,0.4856,0.697,0.736,0.422,0.41010101010101,0.286,0.01,0.937,0.326363636363636,0.952972972972973,0.443,0.368,0.225,0.186,0.226
"S3_70",0.23,0.84,0.18,0.94,0.91,0.35,0.84,0.56,0.18,0.06,0.5,0.13,0.33,0.08,0.44,0.924418604651163,0.871951219512195,0.3851,0.9721,0.0145,0.395,0.141414141414141,0.042,0.0489999999999999,0.37,0.00545454545454546,0.951891891891892,0.187,0.862,0.869,0.333,0.185
"S3_71",0.62,0.56,0.9,0.95,0.17,0.1,0.86,0.63,0.26,0.98,0.62,0.6,0.95,0.31,0.23,0.453488372093023,0.817073170731707,0.9998,0.2259,0.589,0.753,0.451515151515151,0.119,0.593,0.085,0.414545454545455,0.694054054054054,0.006,0.581,0.145,0.217,0.273
"S3_72",0.09,0.7,0.83,0.62,0.25,0.3,0.8,0.67,0.33,0.64,0.68,0.67,0.1,0.7,0.38,0.552325581395349,0.0487804878048781,0.9608,0.9564,0.4715,0.85,0.0909090909090909,0.875,0.769,0.961,0.621818181818182,0.336486486486486,0.967,0.805,0.827,0.698,0.942
"S3_73",0.35,0.07,0.75,0.51,0.45,0.53,0.02,0.09,0.41,0.3,0.73,0.81,0.43,0.99,0.47,0.703488372093023,0.0548780487804879,0.7694,0.0498000000000001,0.882,0.0660000000000001,0.118181818181818,0.529,0.493,0.172,0.304545454545455,0.542702702702703,0.797,0.706,0.549,0.407,0.812
"S3_74",0.59,0.4,0.13,0.92,0.3,0.26,0.74,0.27,0.19,0.95,0.43,0.7,0.64,0.76,0.29,0.633720930232558,0.23780487804878,0.1041,0.1079,0.559,0.626,0.694949494949495,0.893,0.873,0.634,0.0818181818181819,0.850540540540541,0.772,0.956,0.97,0.284,0.062
"S3_75",0.78,0.56,0.72,0.07,0.95,0.59,0.69,0.29,0.15,0.13,0.37,0.53,0.09,0.72,0.67,0.88953488372093,0.524390243902439,0.2846,0.8325,0.0269999999999999,0.8,0.0525252525252526,0.998,0.277,0.434,0.307272727272727,0.759459459459459,0.205,0.522,0.423,0.197,0.897
"S3_76",0.43,0.48,0.8,0.33,0.73,0.46,0.29,0.15,0.82,0.65,0.71,0.75,0.07,0.06,0.08,0.261627906976744,0.0670731707317074,0.2361,0.4772,0.8345,0.661,0.444444444444444,0.899,0.0389999999999999,0.29,0.19,0.607567567567568,0.776,0.609,0.923,0.429,0.103
"S3_77",0.91,0.91,0.3,0.07,0.13,0.84,0.11,0.21,0.85,0.89,0.79,0.68,0.77,0.82,0.02,0.0755813953488371,0.371951219512195,0.4732,0.4849,0.232,0.144,0.787878787878788,0.103,0.257,0.0219999999999998,0.615454545454545,0.0702702702702702,0.886,0.48,0.059,0.843,0.69
"S3_78",0.91,0.44,0.88,0.98,0.35,0.79,0.87,0.28,0.04,0.04,0.95,0.71,0.98,0.79,0.16,0.447674418604651,0.378048780487805,0.3941,0.1811,0.988,0.808,0.721212121212121,0.379,0.448,0.563,0.972727272727273,0.0432432432432433,0.29,0.79,0.388,0.81,0.82
"S3_79",0.09,0.28,0.55,0.7,0.08,0.24,0.98,0.28,0.39,0.05,0.52,0.75,0.07,0.04,0.34,0.558139534883721,0.335365853658537,0.4194,0.3645,0.131,0.155,0.173737373737374,0.977,0.471,0.334,0.104545454545455,0.627027027027027,0.855,0.819,0.778,0.117,0.814
"S3_80",0.83,0.13,0.11,0.03,0.16,0.17,0.6,0.61,0.64,0.68,0.41,0.43,0.85,0.62,0.22,0.0813953488372092,0.98780487804878,0.4005,0.8724,0.3895,0.02,0.785858585858586,0.791,0.543,0.416,0.892727272727273,0.719189189189189,0.395,0.334,0.955,0.755,0.174
"S3_81",0.58,0.96,0.39,0.61,0.72,0.38,0.69,0.02,0.22,0.39,0.65,0.55,0.54,0.3,0.98,0.377906976744186,1,0.3036,0.7651,0.3325,0.361,0.593939393939394,0.081,0.258,0.638,0.380909090909091,0.54,0.872,0.988,0.85,0.759,0.864
"S3_82",0.26,0.66,0.85,0.13,0.49,0.89,0.8,0.57,0.89,0.51,0.04,0.11,0.73,0.76,0.92,0.924418604651163,0.695121951219512,0.5294,0.4013,0.6045,0.143,0.718181818181818,0.607,0.671,0.419,0.23,0.462972972972973,0.823,0.406,0.623,0.109,0.5
"S3_83",0.96,0.17,0.96,0,0.37,0.63,0.04,0.35,0.65,0.32,0,0.12,0.24,0.8,0.02,0.517441860465116,0.682926829268293,0.9637,0.3376,0.5765,0.371,0.0252525252525253,0.02,0.0249999999999999,0.899,0.727272727272727,0.114054054054054,0.408,0.518,0.024,0.656,0.161
"S3_84",0.53,0.03,0.62,0.66,0.19,0.15,0.65,0.21,0.08,0.67,0.25,0.32,0.15,0.74,0.77,0.686046511627907,0.957317073170732,0.8284,0.5375,0.753,0.286,0.213131313131313,0.736,0.899,0.382,0.0345454545454546,0.378108108108108,0.2,0.74,0.207,0.588,0.513
"S3_85",0.13,0.02,0.07,0.6,0.24,0.15,0.37,0.37,0.9,0.64,0.57,0.33,0.21,0.55,0.28,0.651162790697674,0.786585365853658,0.6437,0.6233,0.172,0.997,0.657575757575758,0.401,0.554,0.191,0.0990909090909091,0.956756756756757,0.231,0.786,0.744,0.347,0.01
