scenario,EA_phase_pol,EA_price_pol,EA_cp_pol,US_phase_pol,US_price_pol,US_cp_pol,CN_phase_pol,CN_price_pol,CN_cp_pol,IN_phase_pol,IN_price_pol,IN_cp_pol,RGS_phase_pol,RGS_price_pol,RGS_cp_pol,RGN_phase_pol,RGN_price_pol,RGN_cp_pol,learning_solar,learning_wind,lifetime_solar,lifetime_wind,lead_offshore,lead_onshore,lead_solar,discr,elec_demand,ccgt_price,coal_price,tech_potential
S3_37,0.23,0.2,0.36,0.25,0.2,0.42,0.11,0.17,0.85,0.45,0.33,0.8,0.1,0.45,0.84,0.19,0.18,0.35,-0.264,-0.152,25,35,6,3,2,0.625,0.01,0.1,0.738,0.796
S3_38,0.56,0.49,0.82,0.35,0.11,0.31,0.68,0.17,0.01,0.79,0.5,0.84,0.3,0.89,0.72,0.73,0.4,0.38,-0.349,-0.197,30,31,3,3,3,0.293,0.75,0.617,0.277,0.176
S3_39,0.57,0.42,0.16,0.93,0.9,0.61,0.11,0.81,0.06,0.2,1,0.99,0.5,0.07,0.39,0.15,0.51,0.03,-0.359,-0.147,30,31,4,3,2,0.422,0.974,0.374,0.766,0.104
S3_40,0.72,0.58,0.21,0.07,0.47,0.52,0.61,0.5,0.81,0.06,0.66,0.15,0.11,0.34,0.09,0.37,0.39,0.83,-0.263,-0.268,34,25,2,4,3,0.742,0.355,0.235,0.088,0.454
S3_41,0.24,0.91,0.71,0.95,0.35,0.21,0.77,0.44,0.94,0.98,0.73,0.53,0.84,0.45,0.83,0.45,0.25,0.87,-0.381,-0.146,30,28,2,3,3,0.238,0.04,0.913,0.346,0.607
S3_42,0.75,0.4,0.61,0.35,0.06,0.49,0.32,0.34,0.59,0.96,0.85,0.21,0.09,0.76,0.39,0.47,0.04,0.87,-0.371,-0.139,28,34,7,3,4,0.282,0.436,0.2,0.816,0.653
S3_43,0.97,0.46,0.4,0.83,0.97,0.92,0.01,0.93,0.76,0.53,0.6,0.02,0.55,0.5,0.32,0.38,0.8,0.37,-0.294,-0.23,29,35,5,2,2,0.642,0.686,0.078,0.895,0.179
S3_44,0.38,0.68,0.33,0.55,0.91,0.11,0.34,0.7,0.7,0.56,0.82,0.37,0.19,0.99,0.03,0.86,0.8,0.67,-0.355,-0.141,26,26,5,3,4,0.082,0.983,0.39,0.18,0.827
S3_45,0.56,0.88,0.12,0.63,0.12,0.8,0.47,0.59,0.33,0.9,0.83,0.61,0.48,0.22,0.8,0.57,0.9,0.63,-0.358,-0.264,34,32,5,4,2,0.414,0.949,0.536,0.511,0.134
S3_46,0.19,0.73,0.84,0.56,0.11,0.45,0.97,0.45,0.66,0.89,0.43,0.56,0.72,0.49,0.79,0.87,0.77,0,-0.241,-0.233,25,27,5,3,1,0.795,0.733,0.136,0.551,0.995
S3_47,0.84,0.7,0.87,0.35,0.58,0.71,0.18,0.04,0.1,0.31,0.83,0.89,0.54,0.8,0.77,0.83,0.91,0.18,-0.289,-0.202,33,29,5,4,3,0.155,0.254,0.651,0.301,0.09
S3_48,0.41,0.94,0.53,0.08,0.68,0.74,0.04,0.62,0.92,0.5,0.05,0.59,0.53,0.81,0.95,0.12,0.52,0.66,-0.28,-0.124,35,25,3,1,2,0.408,0.536,0.117,0.812,0.649
S3_49,0.92,0,0.85,0.8,0.04,0.05,0.06,0.56,0.67,0.74,0.69,0.29,0.97,0.93,0.76,0.82,0.46,0.91,-0.36,-0.186,33,34,7,3,4,0.016,0.414,0.327,0.75,0.451
S3_50,0.62,0.73,0.58,0.25,0.77,0.73,0.35,0.22,0.18,0.53,0.05,0.97,0.04,0.18,0.3,0.59,0.87,0.46,-0.268,-0.256,31,26,3,2,3,0.817,0.087,0.597,0.725,0.873
S3_51,0.35,0.26,0.07,0.59,0.2,0.51,0.75,0.88,0.18,0.91,0.66,0.39,0.49,0.2,0.9,0.94,0.22,0.5,-0.331,-0.166,33,30,7,3,3,0.219,0.54,0.349,0.682,0.163
S3_52,0.93,0.25,0.7,0.2,0.19,0.43,0.09,0.02,0.48,0.4,0.98,0.78,0.16,0.37,0.78,0.66,0.06,0.8,-0.236,-0.201,32,34,3,3,1,0.058,0.703,0.42,0.13,0.323
S3_53,0.74,0.24,0.3,0.82,0.94,0.82,0.55,0.9,0.1,0.06,0.42,0.97,0.72,0.52,0.91,0.84,0.17,0.2,-0.335,-0.194,29,29,4,4,3,0.096,0.547,0.048,0.297,0.603
S3_54,0.31,0.34,0.77,0.89,0.57,0.25,0.29,0.45,0.74,0.59,0.59,0.65,0.89,0.48,0.47,0.18,0.15,0.74,-0.354,-0.185,30,33,3,4,2,0.675,0.7,0.388,0.116,0.669
S3_55,0.99,0.14,0.04,0.56,0.82,0.42,0.98,0.06,0.91,0.8,0.8,0.42,0.65,0.25,0.88,0.48,0.13,0.71,-0.318,-0.261,31,34,4,3,3,0.056,0.23,0.661,0.263,0.348
S3_56,0.6,0.64,0.07,0.26,0.99,0.43,0.51,0.76,0.14,0.54,0.27,0.52,0.33,0.3,0.28,0.91,0.5,0.44,-0.313,-0.245,32,34,5,2,3,0.919,0.868,0.872,0.111,0.024
S3_57,0.1,0.59,0.58,0.05,0.9,0.17,0.23,0.66,0.79,0.63,0.76,0.76,0.23,0.38,0.18,0.5,0.83,0.04,-0.31,-0.173,33,30,4,4,2,0.981,0.306,0.285,0.365,0.807
S3_58,0.79,0.52,0.34,0.86,0.96,0.27,0.65,0.94,0.31,0.91,0.17,0.11,0.7,0.18,0.26,0.4,0.25,0.86,-0.309,-0.181,26,32,4,3,4,0.634,0.081,0.181,0.66,0.296
S3_59,0.28,0.28,0.3,0.3,0.23,0.53,0.49,0.51,0.22,0.87,0.18,0.72,0.7,0.57,0.47,0.66,0.03,0.37,-0.26,-0.144,34,28,3,4,2,0.134,0.99,0.757,0.308,0.436
S3_60,0.07,0.57,0.12,0.5,0.99,0.89,0.35,0.78,0.28,0.25,0.09,0.83,0.85,0.88,0.04,0.35,0.93,0.01,-0.342,-0.2,31,32,7,3,2,0.194,0.968,0.691,0.744,0.677
S3_61,0.68,0.59,0.83,0.85,0.72,0.24,0.05,0.84,0.27,0.26,0.47,0.23,0.22,0.62,0.74,0.28,0.15,0.07,-0.282,-0.19,26,26,2,3,2,0.906,0.453,0.493,0.407,0.389
S3_62,0.32,0.72,0.06,0.09,0.66,0.42,0.53,0.18,0.01,0.32,0.67,0.6,0.26,0.41,0.8,0.64,0.22,0.62,-0.304,-0.261,25,35,5,1,2,0.693,0.077,0.551,0.796,0.893
S3_63,0.57,0.05,0.54,0.89,0.46,0.21,0.69,0.84,0.32,0.23,0.79,0.85,0.69,0.83,0.94,0.42,0.84,0.74,-0.363,-0.173,34,26,6,1,3,0.584,0.741,0.468,0.554,0.441
S3_64,0.31,0.68,0.39,0.07,0.31,0.03,0.69,0.9,0.19,0.4,0.97,0.57,0.76,0.52,0.89,0.28,0.57,0.69,-0.278,-0.164,26,28,4,4,4,0.778,0.471,0.992,0.253,0.057
S3_65,0.05,0.26,0.05,0.9,0.61,0.36,0.43,0.36,0.16,0.82,0.58,0.53,0.68,0.41,0.85,0.26,0.85,0.09,-0.338,-0.184,26,28,4,1,1,0.427,0.626,0.094,0.063,0.499
S3_66,0.52,0.79,0.16,0.99,0.31,0.46,0.74,0.87,0.93,0.88,0.32,0.88,0.17,0.39,0.42,0.6,0.24,0.16,-0.349,-0.255,33,25,4,2,2,0.46,0.997,0.228,0.91,0.05
S3_67,0.88,0.87,0.72,0.85,0.65,0.41,0.91,0.59,0.49,0.36,0.86,0.76,0.26,0.29,0.08,0.6,0.24,0.91,-0.362,-0.17,29,30,6,2,2,0.147,0.846,0.972,0.248,0.907
S3_68,0.46,0.93,0.93,0.37,0.31,0.66,0.23,0.25,0.43,0.3,0.33,0.93,0.63,0.52,0.76,0.14,0.78,0.56,-0.312,-0.231,28,29,5,1,2,0.431,0.459,0.346,0.089,0.606
S3_69,0.81,0.99,0.91,0.73,1,0.6,0.33,0.54,0.36,0.9,0.76,0.61,0.69,0.13,0.34,0.77,0.47,0.61,-0.397,-0.163,35,30,7,4,4,0.561,0.118,0.731,0.108,0.597
S3_70,0.63,0.27,0.51,0.04,0.29,0.09,0.31,0.57,0.46,0.08,0.71,0.7,0.5,0.98,0.96,0.77,0.83,0.97,-0.4,-0.256,29,30,4,3,4,0.621,0.148,0.058,0.193,0.539
S3_71,0.82,0.93,0.19,0.65,0.66,0.78,0.19,0.45,0.73,0.39,0.1,0.89,0.5,0.8,0.94,0.52,0.89,0.54,-0.381,-0.116,27,28,2,2,2,0.747,0.995,0.507,0.316,0.763
S3_72,0.72,0.01,0.49,0.41,0.82,0,0.98,0.7,0.12,0.56,0.3,0.19,0.74,0.87,0.48,0.58,0.68,0.35,-0.317,-0.161,33,29,3,2,3,0.63,0.313,0.052,0.81,0.119
S3_73,0.57,0.54,0.04,0.56,0.93,0.38,0.43,0.67,0.07,0.26,0.17,0.28,0.78,0.74,0.66,0.16,0.97,0.29,-0.339,-0.227,30,34,5,3,1,0.867,0.897,0.825,0.021,0.4
S3_74,0.61,0.11,0.41,0.75,0.25,0.38,0.08,0.04,0.03,0.17,0.62,0.51,0.27,0.58,0.56,0.79,0.79,0.44,-0.236,-0.208,27,33,7,2,3,0.397,0.297,0.887,0.229,0.205
S3_75,0.34,0.23,0.69,0.1,0.36,0.21,0.51,0.38,0.18,0.04,0.06,0.04,0.59,0.74,0.81,0.43,0.13,0.59,-0.372,-0.249,33,28,2,2,2,0.448,0.784,0.131,0.045,0.346
S3_76,0.63,0.24,0.27,0.48,0.69,0.79,0.46,0.72,0.13,0.43,0.3,0.5,0.75,0.23,0.08,0.55,0.39,0.33,-0.333,-0.159,26,28,7,4,3,0.984,0.071,0.737,0.762,0.667
S3_77,0.22,0.48,0.72,0.06,0.93,0.34,0.79,0.94,0.59,0.34,0.39,0.53,0.55,0.28,0.16,0.9,0.55,0.78,-0.339,-0.18,28,30,6,4,4,0.951,0.78,0.204,0.504,0.181
S3_78,0.59,0.54,0.78,0.69,0.3,0.59,0.14,0.27,0.54,0.99,0.68,0.3,0.21,0.81,0.89,0.44,0.69,0.64,-0.265,-0.14,30,27,7,4,3,0.425,0.62,0.74,0.839,0.361
S3_79,0.86,0.33,0.78,0.7,0.24,0.6,0.42,0.66,0.77,0.79,0.29,0.04,0.52,0.35,0.32,0.18,0.87,0.27,-0.258,-0.252,33,27,7,3,2,0.412,0.837,0.482,0.473,0.46
S3_80,0.89,0.97,0.21,0.91,0.05,0.79,0.09,0.78,0.32,0.49,0.73,0.61,0.82,0.59,0.37,0.37,0.54,0.9,-0.398,-0.182,27,27,4,2,2,0.865,0.535,0.935,0.331,0.716
S3_81,0.93,0.53,0.05,0.78,0.38,0.35,0.06,0.39,0.47,0.45,0.64,0.07,0.52,0.77,0.44,0.74,0.89,0.22,-0.254,-0.234,34,27,3,2,2,0.363,0.687,0.632,0.375,0.63
S3_82,0.02,0.64,0.67,0.16,0.75,0.15,0.4,0.58,0.4,0.45,0.77,0.2,0.51,0.51,0.66,0.31,0.36,0.76,-0.316,-0.22,30,31,6,3,2,0.022,0.957,0.187,0.434,0.817
S3_83,0.27,0.61,0.8,0.21,0.43,0.59,0.03,0.96,0.11,0.05,0.12,0.93,0.11,0.29,0.21,0.35,0.44,0.13,-0.36,-0.174,28,29,5,4,2,0.752,0.494,0.555,0.94,0.079
S3_84,0.95,0.41,0.71,0.51,0.07,0.32,0.59,0.38,0.34,0.55,0.27,0.54,0.87,0.39,0.58,0.71,0.6,0.99,-0.247,-0.133,26,33,7,2,4,0.699,0.792,0.666,0.566,0.371
S3_85,0.72,0.56,0.59,0.36,0.09,0.28,0.36,0.13,0.8,0.6,0.72,0.87,0.71,0.4,0.3,0.24,0.53,0.07,-0.275,-0.155,32,32,8,3,3,0.816,0.668,0.568,0.834,0.506
S3_86,0.87,0.29,0.03,0.67,0.92,0.09,0.45,0.82,0.05,0.35,0.65,0.12,0.81,0.1,0.17,0.68,0.43,0.15,-0.247,-0.196,29,32,3,4,2,0.185,0.865,0.608,0.743,0.185
S3_87,0.16,0.55,0.53,0.82,0.37,0.82,0.4,0.15,0.53,0.45,0.15,0.19,0.16,0.4,0.88,0.13,0.7,0.98,-0.383,-0.129,31,34,6,3,4,0.835,0.868,0.663,0.992,0.731
S3_88,0.89,0.89,0.12,0.33,0.41,0.24,0.68,0.89,0.63,0.18,0.96,0.26,0.5,0.93,0.6,0.15,0.82,0.12,-0.257,-0.228,32,28,6,3,2,0.926,0.731,0.911,0.484,0.775
S3_89,0.93,0.12,0.44,0.11,0.6,0.22,0.32,0.11,0.88,0.63,0.68,0.3,0.49,0.73,0.48,0.85,0.02,0.23,-0.285,-0.218,26,28,6,2,3,0.051,0.021,0.92,0.531,0.749
S3_90,0.15,0.12,0.57,0.06,0.73,0.43,0.85,0.79,0.28,0.26,0.1,0.35,0.8,0.23,0.02,0.67,0.44,0.18,-0.256,-0.239,32,35,5,2,3,0.195,0.364,0.372,0.438,0.998
S3_91,0.1,0.75,0.28,0.71,0.87,0.65,0.6,0.23,0.41,0.15,0.24,0.59,0.04,0.31,0.42,0.19,0.66,0.85,-0.271,-0.12,34,32,8,2,3,0.446,0.714,0.903,0.616,0.553
S3_92,0.95,0.92,0.38,0.36,0.94,0.55,0.21,0.16,0.45,0.85,0.58,0.78,0.13,0.94,0.42,0.08,0.21,0.47,-0.358,-0.274,26,34,3,2,1,0.949,0.901,0.995,0.524,0.715
S3_93,0.24,0.57,0.57,0.56,0.85,0.56,0.09,0.32,0.38,0.99,0.84,0.62,0.36,0.23,0.95,0.88,0.19,0.82,-0.367,-0.258,28,25,2,4,2,0.54,0.112,0.536,0.346,0.11
S3_94,0.8,0.77,0.94,0.92,0.8,0.99,0.69,0.03,0.39,0.01,0.47,0.82,0.35,0.62,0.23,0.91,0.48,0.58,-0.344,-0.171,31,33,3,2,2,0.749,0.239,0.459,0.542,0.156
S3_95,0.06,0.41,0.66,0.88,0.29,0.79,0.37,0.06,0.59,0.27,0.41,0.92,0.28,0.21,0.07,0.17,0.38,0.03,-0.332,-0.156,29,35,5,3,1,0.764,0.593,0.513,0.754,0.594
S3_96,0.16,0.3,0.25,0.01,0.4,0.81,0.24,0.92,0.83,0.69,0.19,0.75,0.76,0.61,0.11,0.45,0.41,0.53,-0.35,-0.257,29,33,8,3,3,0.007,0.51,0.415,0.481,0.938
S3_97,0.62,0.86,0.29,0.28,0.03,0.81,0.82,0.84,0.25,0.24,0.01,0.32,0.56,0.77,0.25,0.06,0.01,0.51,-0.261,-0.228,31,31,6,2,3,0.942,0.439,0.029,0.699,0.48
S3_98,0.62,0.16,0.55,0.45,0.95,0.01,0.64,0.55,0.95,0.55,0.88,0.06,0.74,0.63,0.23,0.84,0.85,0.39,-0.363,-0.226,28,32,5,3,3,0.937,0.385,0.844,0.392,0.037
S3_99,0.43,0.47,0.12,0.09,0.41,0.53,0.67,0.12,0.88,0.67,0.94,0.56,0.3,0.39,0.36,0.64,0.89,0.78,-0.369,-0.237,27,30,3,3,4,0.679,0.205,0.608,0.052,0.835
S3_100,0.14,0.33,0.46,0.62,0.09,0.69,0.81,0.68,0.11,0.77,0.09,0.46,0.46,0.08,0.76,0.72,0.02,0.46,-0.245,-0.134,28,30,4,2,1,0.824,0.828,0.891,0.016,0.208
S3_101,0.99,0.45,0.66,0.85,0.29,0.44,0.52,0.11,0.03,0.47,0.52,0.62,0.33,0.43,0.12,0.71,0.04,0.67,-0.293,-0.136,29,26,6,3,2,0.859,0.734,0.304,0.431,0.19
S3_102,0.05,0.34,1,0.2,0.48,0.63,0.96,0.5,0.71,0.28,0.7,0.46,0.41,0.02,0.96,0.49,0.81,0.96,-0.237,-0.117,34,31,4,3,2,0.06,0.512,0.478,0.223,0.948
S3_103,0.73,0.44,0.59,0.9,0.8,0.68,0.04,0.55,0.65,0.47,0.09,0.08,0.9,0.13,0.62,0.5,0.78,0.12,-0.249,-0.168,25,33,8,1,2,0.163,0.635,0.454,0.663,0.511
S3_104,0.32,0.86,0.5,0.22,0.02,0.98,0.56,0.06,0,0.27,0.79,0.43,0.05,0.55,0.28,0.39,0.4,0.54,-0.315,-0.273,31,35,5,1,2,0.233,0.695,0.246,0.298,0.189
S3_105,0.99,0.86,0.14,0.53,0.67,0.99,0.75,0.54,0.44,0.87,0.34,0.09,0.04,0.03,0.07,0.74,0.12,0.24,-0.292,-0.207,32,34,5,1,4,0.789,0.352,0.529,0.903,0.689
S3_106,0.26,0.38,0.34,0.27,0.55,0.37,0.45,0.29,0.63,0.28,0.3,0.39,0.12,0.31,0.93,0.08,0.21,0.95,-0.279,-0.202,35,25,5,3,1,0.533,0.551,0.113,0.961,0.619
S3_107,0.14,0.6,0.34,0.05,0.92,0.21,0.3,0.85,0.65,0.77,0.24,0.53,0.39,0.04,0.24,0.81,0.3,0.42,-0.371,-0.131,34,28,8,1,2,0.709,0.169,0.271,0.256,0.385
S3_108,0.19,0.16,0.27,0.32,0.7,0.2,0.91,0.88,0.09,0.72,0.71,0.58,0.13,0.99,0.38,0.36,0.22,0.32,-0.239,-0.263,31,34,4,1,4,0.384,0.641,0.706,0.705,0.528
S3_109,0.47,0.08,0.22,0.34,0.8,0.06,0.08,0.95,0.51,0.51,0.18,0.22,0.84,0.89,0.33,0.32,0,0.56,-0.272,-0.167,35,31,5,1,2,0.852,0.234,0.953,0.261,0.992
S3_110,0.94,0.84,0.7,0.46,0.7,0.48,0.58,0.2,0.02,0.3,0.85,0.25,0.25,0.55,0.85,0.56,0.47,0.9,-0.334,-0.178,31,34,7,2,2,0.131,0.86,0.326,0.967,0.438
S3_111,0.64,0.43,0.54,0.84,0.05,0.95,0.38,0.27,0.27,0.86,0.02,0.79,0.93,0.24,0.09,0.3,0.78,0.98,-0.352,-0.252,26,28,2,3,3,0.109,0.11,0.669,0.61,0.353
S3_112,0.43,0.56,0.95,0.73,0.82,0.38,0.5,0.21,0.61,0.71,0.35,0.91,0.19,0.56,0.99,0.22,0.67,0.43,-0.386,-0.131,31,33,5,3,1,0.76,0.804,0.163,0.521,0.329
S3_113,0.72,0.5,0.19,0.86,0.44,0.64,0.28,0.47,0.95,0.59,0.63,0.28,0.32,0.32,0.98,0.65,0.18,0.3,-0.377,-0.205,30,26,8,3,3,0.881,0.819,0.749,0.114,0.422
S3_114,0.27,0.52,0.36,0.69,0.74,0.54,0.9,0.41,0.57,0.83,0.13,0.87,0.37,0.65,0.84,0.41,0.12,0.51,-0.374,-0.2,35,26,8,3,4,0.289,0.909,0.376,0.272,0.504
S3_115,0.31,0.48,0.91,0.68,0.58,0.71,0.96,0.21,0.16,0.57,0.66,0.55,0.3,0.18,0.78,1,0.01,0.6,-0.373,-0.254,25,29,7,4,1,0.139,0.03,0.836,0.011,0.744
