scenario,US_phase_pol,US_price_pol,US_cp_pol,CN_phase_pol,CN_price_pol,CN_cp_pol,IN_phase_pol,IN_price_pol,IN_cp_pol,RGS_phase_pol,RGS_price_pol,RGS_cp_pol,RGN_phase_pol,RGN_price_pol,RGN_cp_pol,learning_solar,learning_wind,lifetime_solar,lifetime_wind,lead_onshore,lead_solar,lead_commission,cr_wind,cr_solar,discr,elec_demand,ccgt_price,coal_price,tech_potential
S3_24,0.37,0.25,0.87,0.09,0.34,0.84,0.86,0.56,0.34,0.79,0.25,0.72,0.74,0.69,0.89,-0.262,-0.267,25.401,30.261,2.952,2.534,0.755,-0.949,-2.278,0.567,0.96,0.384,0.564,0.175
S3_25,0.49,0.92,0.51,0.38,0.86,0.33,0.57,0.93,0.75,0.08,0.7,0.1,0.49,0.43,0.97,-0.355,-0.128,27.811,25.023,2.247,2.344,0.948,-0.682,-2.819,0.794,0.357,0.271,0.6,0.068
S3_26,0.46,0.93,0.22,0.83,0.04,0.87,0.24,0.36,0.36,0.88,0.84,0.93,0.07,0.34,0.18,-0.305,-0.201,34.651,29.915,2.136,1.485,0.13,-1.003,-2.432,0.246,0.246,0.825,0.004,0.513
S3_27,0.58,0.4,0.16,0.33,0.57,0.75,0.02,0.27,0.49,0.93,0.87,0.89,0.55,0.54,0.73,-0.297,-0.241,28.028,26.778,2.267,1.125,0.848,-1.02,-3.336,0.961,0.464,0.028,0.848,0.863
S3_28,0.47,0.49,0.61,0.25,0.43,0.63,0.25,0.15,0.32,0.31,0.53,0.47,0.17,0.14,0.11,-0.374,-0.147,33.003,30.381,2.737,2.952,0.767,-1.103,-1.618,0.816,0.259,0.591,0.288,0.052
S3_29,0.84,0.71,0.17,0.04,0.6,0.25,0.2,0.08,0.44,0.14,0.88,0.46,0.77,0.03,0.19,-0.317,-0.137,27.194,25.469,2.03,2.472,0.689,-0.638,-1.55,0.988,0.787,0.854,0.687,0.414
S3_30,0.29,0.2,0.7,0.06,0.98,0.15,0.45,0.63,0.38,0.21,0.11,0.89,0.15,0.91,0.45,-0.359,-0.271,34.983,26.318,2.153,2.765,0.584,-0.7,-3.026,0.833,0.245,0.609,0.43,0.764
S3_31,0.5,0.0,0.03,0.86,0.27,0.24,0.61,0.48,0.36,0.34,0.0,0.98,0.75,0.04,0.6,-0.233,-0.209,27.387,29.25,2.926,1.967,0.928,-0.988,-1.486,0.764,0.437,0.098,0.18,0.203
S3_32,0.14,0.08,0.38,0.65,0.31,0.25,0.4,0.35,0.89,0.48,0.37,0.64,0.09,0.44,0.38,-0.244,-0.165,33.148,30.259,2.359,1.96,0.247,-0.77,-3.067,0.533,0.758,0.72,0.93,0.614
S3_33,0.74,0.73,0.07,0.99,0.25,0.51,0.19,0.1,0.76,0.21,0.55,0.84,1.0,0.52,0.36,-0.385,-0.235,27.018,30.66,2.438,2.517,0.823,-1.009,-2.258,0.508,0.524,0.54,0.26,0.814
S3_34,0.38,0.87,0.97,0.18,0.14,0.87,0.34,0.85,0.34,0.8,0.26,0.56,0.62,0.0,0.74,-0.247,-0.208,32.444,27.616,2.998,2.972,0.65,-0.672,-3.332,0.661,0.337,0.412,0.062,0.46
S3_35,0.86,0.83,0.79,0.41,0.05,0.46,0.76,0.62,0.77,0.42,0.08,0.47,0.98,0.84,0.36,-0.369,-0.206,30.25,29.413,2.373,1.03,0.859,-0.89,-1.478,0.86,0.332,0.602,0.526,0.397
S3_36,0.7,0.97,0.47,0.16,0.23,0.67,0.41,0.86,0.5,0.84,0.79,0.19,0.83,0.9,0.68,-0.279,-0.162,31.168,28.422,2.145,2.835,0.304,-1.023,-2.81,0.333,0.1,0.297,0.227,0.824
S3_37,0.63,0.74,0.42,0.61,0.95,0.34,0.32,0.11,0.6,0.42,0.66,0.25,0.48,0.08,0.87,-0.35,-0.12,26.855,32.173,2.298,1.375,0.809,-1.081,-2.83,0.649,0.189,0.311,0.117,0.757
S3_38,0.67,0.75,0.01,0.63,0.37,0.15,0.27,0.18,0.01,0.52,0.27,0.56,0.55,0.17,0.91,-0.344,-0.14,28.389,34.309,2.632,1.917,0.011,-0.952,-2.469,0.15,0.5,0.406,0.391,0.127
S3_39,0.5,0.35,0.85,0.14,0.4,0.85,0.79,0.9,0.09,0.9,0.62,0.59,0.84,0.68,0.77,-0.313,-0.173,31.977,25.263,2.3,1.674,0.51,-1.095,-2.24,0.591,0.275,0.261,0.433,0.244
S3_40,0.71,0.48,0.21,0.72,0.89,0.32,0.16,0.39,0.47,0.05,0.59,0.19,0.22,0.96,0.58,-0.345,-0.191,28.623,31.25,2.498,2.107,0.939,-0.76,-1.947,0.901,0.387,0.221,0.533,0.926
S3_41,0.56,0.86,0.4,0.24,0.99,0.11,0.43,0.78,0.96,0.19,0.67,0.18,0.37,0.77,0.4,-0.247,-0.194,31.825,30.145,2.756,2.246,0.52,-0.898,-1.863,0.851,0.262,0.359,0.171,0.08
S3_42,0.92,0.45,0.9,0.77,0.04,0.72,0.75,0.94,0.44,0.9,0.57,0.54,0.23,0.52,0.17,-0.371,-0.265,31.504,28.529,2.988,1.825,0.484,-1.085,-1.456,0.181,0.459,0.834,0.52,0.027
S3_43,0.42,0.35,0.04,0.8,0.93,0.88,0.36,0.15,0.04,0.38,0.78,0.25,0.08,0.16,0.55,-0.325,-0.248,30.754,28.168,2.743,2.986,0.977,-1.106,-2.055,0.092,0.01,0.477,0.255,0.954
S3_44,0.46,0.97,0.03,0.37,0.9,0.7,0.91,0.93,0.24,1.0,0.67,0.42,0.65,0.52,0.96,-0.305,-0.164,27.112,31.343,2.414,1.158,0.685,-0.881,-2.766,0.564,0.444,0.537,0.434,0.726
S3_45,0.06,0.84,0.25,0.77,0.03,0.63,0.45,0.29,0.03,0.13,0.21,0.71,0.58,0.05,0.73,-0.402,-0.252,33.074,34.438,2.044,1.527,0.55,-1.017,-2.798,0.334,0.572,0.41,0.597,0.145
S3_46,0.08,0.08,0.16,0.52,0.56,0.51,0.95,0.86,0.84,0.9,0.06,0.17,0.32,0.59,0.91,-0.284,-0.144,31.658,25.938,2.334,1.213,0.952,-1.07,-2.503,0.489,0.206,0.185,0.377,0.621
S3_47,0.21,0.63,0.64,0.12,0.16,0.31,0.98,0.45,0.3,0.12,0.22,0.17,0.91,0.72,0.12,-0.377,-0.237,27.204,31.589,2.099,2.655,0.523,-1.013,-2.49,0.737,0.045,0.364,0.472,0.994
S3_48,0.09,0.85,0.96,0.99,0.38,0.24,0.87,0.66,0.17,0.59,0.7,0.73,0.81,0.0,0.54,-0.298,-0.267,26.965,28.381,2.176,1.52,0.369,-0.724,-2.73,0.927,0.933,0.997,0.211,0.045
S3_49,1.0,0.58,0.74,0.27,0.12,0.68,0.06,0.04,0.91,0.32,0.99,0.35,0.1,0.36,0.34,-0.392,-0.133,28.006,26.571,2.305,2.012,0.015,-0.953,-2.153,0.63,0.578,0.285,0.976,0.092
S3_50,0.01,0.38,0.25,0.9,0.11,0.41,0.2,0.6,0.85,0.25,0.68,0.81,0.96,0.13,0.44,-0.241,-0.128,28.996,31.401,2.411,2.531,0.362,-0.981,-2.597,0.711,0.689,0.811,0.2,0.18
S3_51,0.53,0.42,0.93,0.31,0.12,0.26,0.3,0.89,0.44,0.22,0.16,0.81,0.3,0.2,0.36,-0.343,-0.171,30.957,34.82,2.281,2.523,0.872,-0.985,-2.117,0.782,0.391,0.956,0.838,0.231
S3_52,0.62,0.02,0.77,0.08,0.39,0.21,0.94,0.56,0.19,0.58,0.32,0.82,0.47,0.07,0.17,-0.316,-0.155,31.521,30.668,2.818,2.632,0.026,-0.685,-2.025,0.636,0.677,0.576,0.452,0.473
S3_53,0.78,0.44,0.52,0.26,0.18,0.88,0.1,0.62,0.75,0.04,0.38,0.17,0.05,0.07,0.08,-0.337,-0.235,25.431,34.571,2.293,2.058,0.959,-0.799,-3.316,0.284,0.225,0.114,0.24,0.778
S3_54,0.5,0.64,0.92,0.25,0.8,0.26,0.46,0.7,0.79,0.53,0.33,0.0,0.39,0.88,0.2,-0.361,-0.27,34.741,29.432,2.82,1.073,0.789,-0.808,-1.906,0.081,0.34,0.661,0.119,0.608
S3_55,0.74,0.2,0.57,0.55,0.86,0.1,0.94,0.55,0.26,0.02,0.81,0.14,0.78,0.94,0.1,-0.283,-0.15,27.327,25.128,2.962,1.75,0.753,-0.825,-2.883,0.614,0.096,0.508,0.358,0.191
S3_56,0.07,0.01,0.62,0.23,0.61,0.79,0.62,0.06,0.04,0.86,0.96,0.02,0.95,0.5,0.45,-0.243,-0.207,27.463,26.22,2.687,2.676,0.614,-0.954,-3.049,0.365,0.559,0.047,0.115,0.747
S3_57,0.37,0.9,1.0,0.72,0.94,0.52,0.84,0.72,0.66,0.77,0.19,0.99,0.04,0.37,0.71,-0.311,-0.145,25.732,31.37,2.426,1.023,0.228,-0.847,-1.742,0.904,0.367,0.903,0.964,0.76
S3_58,0.76,0.29,0.53,0.07,0.32,0.02,0.95,0.91,0.02,0.83,0.16,0.28,0.73,0.5,0.71,-0.397,-0.261,26.485,29.482,2.067,2.442,0.912,-0.78,-2.648,0.225,0.534,0.428,0.711,0.218
S3_59,0.84,0.35,0.71,0.24,0.05,0.56,0.03,0.46,0.09,0.29,0.04,0.92,0.62,0.86,0.12,-0.25,-0.165,25.556,26.067,2.162,2.447,0.83,-0.665,-2.656,0.222,0.393,0.04,0.428,0.295
S3_60,0.22,0.09,0.07,0.12,0.21,0.59,0.72,0.34,0.67,0.93,0.42,0.7,0.56,0.95,0.5,-0.277,-0.255,33.776,30.984,2.968,1.368,0.773,-0.857,-2.806,0.362,0.691,0.266,0.756,0.808
S3_61,0.68,0.22,0.86,0.82,0.33,0.89,0.85,0.71,0.32,0.07,0.86,0.79,0.06,0.98,0.39,-0.258,-0.195,31.675,25.908,2.61,1.597,0.038,-0.792,-1.913,0.349,0.823,0.865,0.782,0.56
S3_62,0.54,0.75,0.64,0.93,0.56,0.44,0.24,0.68,0.77,0.24,0.93,0.4,0.12,0.04,0.83,-0.349,-0.216,33.212,28.187,2.5,1.228,0.74,-0.885,-2.013,0.399,0.876,0.772,0.312,0.253
S3_63,0.6,0.59,0.65,0.09,0.63,0.52,0.42,0.19,0.95,0.66,0.29,0.53,0.38,0.49,0.58,-0.347,-0.195,30.596,31.614,2.28,2.88,0.136,-0.703,-2.378,0.483,0.882,0.456,0.235,0.377
S3_64,0.3,0.57,0.84,0.0,0.79,0.58,0.88,0.1,0.9,0.73,0.78,0.28,0.26,0.68,0.01,-0.382,-0.229,31.437,34.636,2.726,2.309,0.056,-0.643,-3.148,0.404,0.581,0.603,0.524,0.816
S3_65,0.28,0.88,0.78,0.14,0.08,0.6,0.14,0.14,0.36,0.28,0.81,0.7,0.55,0.58,0.69,-0.266,-0.217,34.628,27.324,2.04,1.129,0.188,-0.659,-2.189,0.282,0.831,0.606,0.124,0.98
S3_66,0.39,0.47,0.31,0.71,0.49,0.93,0.9,0.2,0.25,0.17,0.23,0.45,0.93,0.45,0.9,-0.269,-0.186,33.243,29.814,2.574,2.193,0.444,-0.683,-1.786,0.539,0.926,0.882,0.499,0.347
S3_67,0.0,0.94,0.59,0.44,0.67,0.65,0.12,0.2,0.56,0.59,0.05,0.92,0.8,0.06,0.85,-0.392,-0.24,31.716,33.963,2.515,1.004,0.323,-0.73,-2.201,0.806,0.783,0.243,0.374,0.172
S3_68,0.23,0.58,0.11,0.06,0.02,0.44,0.4,0.53,0.41,0.23,0.9,0.61,0.34,0.8,0.38,-0.242,-0.232,30.121,31.202,2.916,1.346,0.738,-0.994,-1.842,0.53,0.066,0.277,0.05,0.129
S3_69,0.59,0.12,0.85,0.66,0.55,0.36,0.48,0.81,0.05,0.7,0.04,0.43,0.92,0.45,0.15,-0.291,-0.212,34.844,34.921,2.968,2.356,0.314,-1.002,-3.261,0.476,0.404,0.759,0.266,0.653
S3_70,0.71,0.3,0.29,0.15,0.32,0.75,0.41,0.74,0.64,0.38,0.87,0.48,0.04,0.64,0.21,-0.267,-0.274,26.432,30.344,2.718,2.256,0.846,-0.976,-3.028,0.827,0.022,0.065,0.272,0.249
S3_71,0.63,0.13,0.49,0.23,0.67,0.0,0.36,0.03,0.15,0.25,0.63,0.75,0.26,0.25,0.22,-0.396,-0.222,29.127,30.496,2.644,2.179,0.425,-0.931,-2.385,0.061,0.494,0.815,0.447,0.478
S3_72,0.44,0.28,0.92,0.92,0.68,0.7,0.88,0.27,0.04,0.97,0.93,0.6,0.82,0.97,0.57,-0.261,-0.141,26.364,31.825,2.441,2.903,0.558,-0.752,-2.979,0.019,0.734,0.957,0.56,0.972
S3_73,0.94,0.45,0.22,0.72,0.02,0.11,0.26,0.12,0.12,0.02,0.92,0.57,0.39,0.76,0.77,-0.388,-0.116,29.909,33.323,2.567,2.127,0.986,-0.708,-1.649,0.177,0.792,0.831,0.431,0.874
S3_74,0.68,0.22,0.75,0.22,0.97,0.01,0.88,0.24,0.51,0.43,0.84,0.67,0.84,0.79,0.3,-0.281,-0.211,28.213,34.872,2.647,2.762,0.451,-0.832,-1.475,0.581,0.964,0.665,0.731,0.113
S3_75,0.13,0.51,0.64,0.38,0.8,0.5,0.77,0.72,0.12,0.63,0.6,0.67,0.47,0.41,0.31,-0.337,-0.132,30.472,27.39,2.609,1.017,0.117,-0.876,-2.262,0.438,0.731,0.443,0.512,0.154
S3_76,0.99,0.79,0.01,0.52,0.13,1.0,0.11,0.32,0.93,0.4,0.39,0.58,0.01,0.89,0.84,-0.307,-0.129,25.982,25.188,2.889,1.18,0.146,-0.979,-1.768,0.547,0.311,0.988,0.635,0.471
S3_77,0.03,0.6,0.58,0.76,0.81,0.57,0.31,0.49,0.15,0.8,0.08,0.44,0.64,0.95,0.59,-0.235,-0.252,29.808,34.124,2.731,2.611,0.862,-1.063,-1.423,0.766,0.931,0.632,0.325,0.339
S3_78,0.54,0.36,0.45,0.85,0.59,0.21,0.45,0.65,0.17,0.04,0.08,0.25,0.54,0.21,0.39,-0.256,-0.233,29.451,28.833,2.644,1.807,0.489,-0.892,-2.602,0.486,0.371,0.846,0.098,0.386
S3_79,0.26,0.89,0.6,0.18,0.5,0.18,0.4,0.31,0.95,0.61,0.95,0.72,0.42,0.15,0.89,-0.271,-0.121,29.324,30.737,2.034,1.843,0.497,-1.057,-3.123,0.597,0.445,0.684,0.773,0.244
S3_80,0.36,0.87,0.68,0.64,0.15,0.97,0.95,0.95,0.43,0.8,0.21,0.99,0.6,0.44,0.93,-0.331,-0.225,28.105,29.62,2.372,1.218,0.176,-1.082,-1.533,0.104,0.847,0.516,0.486,0.787
S3_81,0.07,0.56,0.63,0.99,0.7,0.32,0.82,0.04,0.31,0.0,0.99,0.01,0.85,0.85,0.6,-0.367,-0.132,26.403,29.375,2.621,1.683,0.103,-0.88,-1.403,0.015,0.727,0.461,0.338,0.96
S3_82,0.05,0.52,0.12,0.61,0.59,0.08,0.06,0.23,0.83,0.04,0.77,0.26,0.44,0.47,0.44,-0.379,-0.204,29.063,34.765,2.354,2.642,0.905,-0.711,-3.1,0.282,0.794,0.91,0.629,0.802
S3_83,0.73,0.01,0.08,0.01,0.43,0.46,0.82,0.85,0.58,0.73,0.11,0.32,0.56,0.07,0.11,-0.244,-0.25,26.108,31.921,2.851,2.372,0.065,-0.897,-2.061,0.543,0.179,0.375,0.537,0.326
S3_84,0.69,0.05,0.14,0.37,0.33,0.09,0.07,0.49,0.51,0.07,0.83,0.13,0.71,0.34,0.49,-0.279,-0.184,28.242,31.027,2.612,1.091,0.573,-0.997,-3.164,0.956,0.508,0.159,0.744,0.383
S3_85,0.25,0.55,0.79,0.58,0.4,0.81,0.93,0.71,0.2,0.24,0.96,0.76,0.1,0.53,0.6,-0.291,-0.263,32.434,25.163,2.673,2.791,0.792,-0.798,-2.54,0.495,0.628,0.945,0.993,0.519
S3_86,0.27,0.89,0.47,0.36,0.64,0.42,0.89,0.83,0.17,0.17,0.44,0.16,0.43,0.13,0.04,-0.293,-0.176,30.307,29.024,2.664,1.988,0.013,-0.857,-2.033,0.514,0.018,0.054,0.849,0.638
S3_87,0.42,0.13,0.42,0.65,0.88,0.35,0.78,0.97,0.18,0.48,0.81,0.95,0.54,0.6,0.37,-0.36,-0.152,32.203,30.055,2.566,2.579,0.529,-0.854,-2.802,0.674,0.078,0.466,0.735,0.223
S3_88,0.28,0.64,0.56,0.87,0.47,0.97,0.06,0.61,0.02,0.21,0.15,0.22,0.36,0.62,0.1,-0.239,-0.23,32.853,33.045,2.782,2.327,0.156,-0.883,-2.787,0.786,0.128,0.322,0.272,0.193
S3_89,0.2,0.94,0.72,0.97,0.55,0.17,0.57,0.79,0.83,0.74,0.54,0.03,0.84,0.91,0.62,-0.38,-0.164,29.438,32.089,2.211,2.328,0.36,-0.76,-2.566,0.671,0.083,0.131,0.036,0.946
S3_90,0.53,0.82,0.87,0.67,0.1,0.19,0.68,0.89,0.67,0.13,0.49,1.0,0.19,0.62,0.37,-0.254,-0.239,26.211,31.659,2.658,1.289,0.041,-0.64,-1.44,0.023,0.681,0.668,0.957,0.9
S3_91,0.22,0.46,0.85,0.24,0.03,0.03,0.09,0.88,0.48,0.56,0.32,0.5,0.24,0.64,0.52,-0.305,-0.268,32.494,25.976,2.627,1.2,0.717,-0.964,-2.637,0.557,0.424,0.913,0.736,0.404
S3_92,0.36,0.88,0.71,0.48,0.73,0.11,0.47,0.48,0.27,0.6,0.46,0.96,0.64,0.23,0.09,-0.24,-0.116,26.183,32.901,2.367,2.872,0.272,-0.709,-2.098,0.481,0.879,0.761,0.066,0.564
S3_93,0.6,0.1,0.69,0.66,0.04,0.4,0.35,0.88,0.16,0.99,0.95,0.05,0.87,0.93,0.72,-0.252,-0.217,25.702,30.941,2.042,2.796,0.732,-0.999,-1.921,0.958,0.35,0.254,0.677,0.563
S3_94,0.34,0.36,0.36,0.46,0.14,0.67,0.15,0.98,0.52,0.24,0.41,0.0,0.41,0.26,0.09,-0.238,-0.234,30.777,34.091,2.309,1.744,0.928,-0.932,-3.107,0.655,0.479,0.715,0.606,0.729
S3_95,0.74,0.28,0.28,0.19,0.91,0.62,0.26,0.81,0.09,0.64,0.61,0.51,0.91,0.46,0.28,-0.329,-0.133,34.87,26.151,2.398,1.691,0.144,-0.974,-2.023,0.071,0.317,0.546,0.898,0.024
S3_96,0.04,0.72,0.34,0.99,0.37,0.78,0.77,0.1,0.88,0.41,0.67,0.41,0.61,0.64,0.8,-0.293,-0.127,27.782,31.077,2.272,2.158,0.02,-0.981,-3.201,0.838,0.953,0.23,0.824,0.82
S3_97,0.08,0.24,0.49,0.08,0.19,0.82,0.69,0.19,0.53,0.81,0.86,1.0,0.42,0.62,0.23,-0.324,-0.259,30.891,34.397,2.663,1.398,0.482,-0.895,-1.713,0.104,0.435,0.505,0.122,0.241
S3_98,0.61,0.11,0.48,0.41,0.18,0.05,0.31,0.61,0.62,0.67,0.84,0.6,0.59,0.23,0.57,-0.276,-0.272,25.099,33.124,2.435,1.241,0.673,-0.854,-3.329,0.79,0.455,0.887,0.063,0.742
S3_99,0.7,0.12,0.77,0.6,0.01,0.57,0.95,0.16,0.67,0.57,0.11,0.25,0.83,0.87,0.59,-0.347,-0.132,28.769,34.885,2.325,1.723,0.377,-0.934,-3.344,0.337,0.529,0.257,0.699,0.904
S3_100,0.73,0.24,0.15,0.98,0.58,0.77,0.07,0.6,0.97,0.55,0.45,0.33,0.88,0.8,0.58,-0.299,-0.24,34.949,25.042,2.139,2.915,0.818,-0.65,-1.911,0.894,0.921,0.895,0.362,0.089
S3_101,0.88,0.79,0.13,0.54,0.03,0.53,0.05,0.06,0.97,0.97,0.81,0.65,0.03,0.08,0.54,-0.333,-0.225,29.003,33.388,2.932,1.573,0.735,-0.809,-1.694,0.998,0.38,0.35,0.53,0.233
S3_102,0.62,0.48,0.41,0.3,0.73,0.73,0.38,0.07,0.81,0.43,0.51,0.52,0.73,0.73,0.87,-0.364,-0.241,32.058,34.323,2.33,1.698,0.115,-0.628,-1.865,0.991,0.255,0.808,0.685,0.507
S3_103,0.48,0.21,0.7,0.71,0.76,0.96,0.25,0.56,0.23,0.33,0.98,0.76,0.11,0.2,0.51,-0.36,-0.231,27.482,31.016,2.419,1.771,0.152,-0.923,-1.784,0.605,0.251,0.716,0.701,0.123
S3_104,0.35,0.09,0.64,0.9,0.62,0.57,0.41,0.9,0.82,0.01,0.76,0.08,0.59,0.59,0.26,-0.404,-0.248,34.434,29.885,2.443,2.161,0.105,-0.641,-1.643,0.658,0.109,0.284,0.073,0.369
S3_105,0.77,0.59,0.41,0.74,0.99,0.16,0.53,0.65,0.77,0.37,0.3,0.61,0.37,0.06,0.69,-0.26,-0.245,25.895,32.672,2.937,1.762,0.349,-1.053,-2.231,0.829,0.58,0.392,0.967,0.668
S3_106,0.97,0.21,0.82,0.54,0.75,0.6,0.47,0.91,0.55,0.34,0.45,0.14,0.22,0.89,0.24,-0.304,-0.227,27.271,32.255,2.794,2.847,0.652,-0.754,-2.423,0.379,0.944,0.986,0.275,0.358
S3_107,0.24,0.76,0.3,0.17,0.28,0.8,0.04,0.39,0.34,0.98,0.59,0.05,0.07,0.29,0.47,-0.28,-0.115,33.081,31.089,2.245,2.924,0.426,-1.007,-1.799,0.631,0.637,0.743,0.178,0.931
S3_108,0.19,0.3,0.52,0.22,0.64,0.01,0.7,0.75,0.65,0.4,0.23,0.28,0.5,0.54,0.3,-0.288,-0.114,27.866,29.475,2.526,2.695,0.555,-0.93,-3.136,0.49,0.555,0.019,0.806,0.661
