QRXI  2  1 6 1    100*(QIX/QRX) % of internal to total EUR-19 exports
QXMI  2  0 1 1    EUR-19 data discrepancy (row sum QIX)-(row sum QIM)
QRX   2  1 1 1    product exports
QRX1  2  1 1 1    QRX lagged one period
QIX   2  1 1 1    product exports to rest of EU
QIX1  2  1 1 1    lagged QIX
QEX   2  1 1 1    product exports outside EU
QEX1  2  1 1 1    lagged QEX
QRY   2  1 1 1    products absorbed by industries (QY0 in MDM)
QRYA  2  1 1 1    products absorbed by industries actuals
QRYE  2  1 1 1    products absorbed by ESI
QRYD  2  1 1 1    diagonal input-output flows (own products absorbed by sector)
YTDO  2  0 6 1    industry transition coeffs DO (1=DW productivity levels)
SVIM  1  0 6 1    Internal market dummy variable
ZZ1  53 53 1 1    working variable
ZZ2  53 53 1 1    working variable
ZZ3  53 53 1 1    working variable
ZZ4  53 53 1 1    working variable
ZZ5  53 53 1 1    working variable
ZZ6  53 53 1 1    working variable
ZZ7  53 53 1 1    working variable
ZZ8  53 53 1 1    working variable
ZZ9  53 53 1 1    working variable
ZZI  53 53 1 1    RATL parameters to sVar
ZZJ  53 53 1 1    GROW parameters to sVar
ZZK  53 53 1 1    Exogenous change sent to sVar
ZZW  53 53 1 1    COIN weights to sVar
ZZWL 53 53 1 1    lagged COIN weights to sVar
ZI1  53  0 1 1    SHAR parameters to sVar
ZI2  53  0 1 1    RATE parameters to sVar
VAR  53 53 1 1    General variable for stochastic routines
PQR   2  1 3 1    prices of products (local currency)
PQRL  2  1 3 1    lagged PQR
PQEU  2  0 3 1    EU prices of products
PEU   2  0 3 1    EU-15 prices of EU products sold to internal market
PEUL  2  0 3 1    lagged PEU
PEUA  2  0 3 1    PEU (identity) (PYH*(QR-QRX)+PQIX*QIX)/(QR-QRX+QIX)
PQEE  2  0 3 1    ave prices for EUR-19 from rest of world (PQRE)
PQWE  2  1 3 1    ave prices of world commodities (dual classification)
PQRM  2  1 3 1    prices of imported products (local currency)
PQRD  2  1 3 1    prices of all sales to the domestic market (local currency)
PRQD  1  0 3 1    regional unregulated prices of domestic sales (lc) from PQRD
PRQ1  1  0 3 1    lagged PRQD
JPQD  2  1 6 1    switch =0 no action, =1 use total market price for PQRD (see PYR.FOR)
PQDE  2  1 3 1    PQRD ex emission taxes (regulated inds for sales to ESI) (lc)
PQD1  2  1 3 1    lagged PQDE
PQTS  2  1 3 1    price of total sales (local currency) (VQR+VQMR)/(QR+QRM)
PMEU  2  0 3 1    EU prices of imported products
PXEU  2  0 3 1    EU prices of export sales
PQRX  2  1 3 1    prices of export sales (local currency)
PQIM  2  1 3 1    EU-internal prices of imported products (local currency)
PQIX  2  1 3 1    EU-internal prices of export sales (local currency)
PQEM  2  1 3 1    EU-external prices of imported products (local currency)
PQM1  2  1 3 1    lagged PQEM
PQEX  2  1 3 1    EU-external prices of export sales (local currency)
PQX1  2  1 3 1    lagged PQEX
PQXX  2  1 3 1    Exogenous change in PQEX (multiplicative) (rate)
PQMX  2  1 3 1    Exogenous change in PQEM (multiplicative) (rate)
LRPX 71  1 6 1    Exogenous change in LRP (multiplicative) (rate)
LRUN 71  1 6 1    Unemployment by age/gender: ratio to national rate
RPNR  1  0 6 1    Pension rate, euros per person
LRQU 71  1 6 1    Average ISCED qualifications (0-6) by age/gender
PIMR  2  1 3 1    residuals for PQIM
PIXR  2  1 3 1    residuals for PQIX
PREG  2  1 6 1    price regulation factors, X% as in PYH%=RPI%+X%
QWXI  2  1 6 1    indicator of activity in non-EU export markets
PQRE  2  1 6 1    indicator of prices in non-EU markets (import sources)
PQRW  2  1 6 1    indicator of prices in non-EU markets (export weights)
QZXI  2  1 1 1    indicator of activity in EU regional export markets
QZXA  2  1 6 1    calibrated QZXI
QZXR  2  1 6 1    residual for QZXI
PQRY  2  1 6 1    indicator of prices of competing exports in world markets
PQRZ  2  1 6 1    indicator of competing prices for exports to EU regions
PQZA  2  1 6 1    calibrated PQRZ
PQZR  2  1 6 1    residual for PQRZ
PQRF  2  1 6 1    indicator of source prices for imports
QMC   2 11 6 1    clas. con. products to imports
QMC2  2 11 6 1    2nd clas. con. products to imports
YR    2  1 1 1    industry outputs at basic prices
YRL1  2  1 1 1    industry outputs lagged 1 year
YRL2  2  1 1 1    industry outputs lagged 2 years
YRL3  2  1 1 1    industry outputs lagged 3 year
YRL4  2  1 1 1    industry outputs lagged 4 year
YRL5  2  1 1 1    industry outputs lagged 5 year
YRN   2  1 1 1    `normal' industry outputs at basic prices
YRNX  2  1 1 1    exogenous `normal' industry outputs (% multiplicative)
LYYN  2  1 1 1    ln(YRN/YR)
PYH   2  1 3 1    prices of home sales by home producers (local currency)
PYH1  2  1 3 1    PYH lagged 1 year
PYHX  2  1 3 1    exogenous change in PYH (percentage eg 1.05 = +5%)
PRYH  1  0 3 1    regional prices of home sales by home producers (lc)
YDV   2  1 1 1    sales by dom. ind. to dom. market (PYH*FEQS(YR-QRX))
YDV1  2  1 1 1    lagged YDV
RGDP  1  0 1 1    GDP expenditure measure at market prices (RSC+RSG+RSK+RSS+RSX-RSM)
RGD1  1  0 1 1    lagged RGDP
PRGD  1  0 3 1    price of GDP (local currency market prices) (PRSC*RSC+...)/RGDP
RGDA  1  0 1 1    EUROSTAT GDP at market prices
PRGA  1  0 3 1    EUROSTAT price deflator of GDP (local currency market prices)
SICO 75 45 6 1    selected structural indicators by EU Member State
COSI 45 75 6 1    EU MS: selected structural indicators
COSX 45 75 6 1    E3ME calculated indicator for COSI (not relative to EU)
COSA 45 75 6 1    actuals for COSI
COSR 45 75 6 1    residuals for COSI
CGHG 45  0 4 1    emissions of GHGs as CO2-equivalent th tonnes carbon
CCO2 45  0 4 1    emissions of carbon dioxide th tonnes carbon
CEPP 45  0 6 1    regional emission permit price (euro/tCO2)
CEPN 45  0 2 1    regional emission permit value of net trade
CEPR 45  0 2 1    regional emission permit revenue from auctions
CEPI 45  0 4 1    regional emission permits issued (thousand tCO2)
CEPU 45  0 4 1    regional emission permits used (thousand tCO2)
CEPB 45  0 4 1    regional emission permits banked (thousand tCO2)
CULC 45  0 6 1    real unit labour costs (ratio) (RWS+RERS)/(RGDP*PRGD/EX)
CUL1 45  0 6 1    lagged CULC
YCM   2 45 1 1    value-added market prices (YRM) by EU Member State
QC    2 45 1 1    gross output (QR) by EU Member State
QCD   2 45 1 1    domestic demand (QRD) by EU Member State
QCX   2 45 1 1    exports (QRX) by EU Member State
QCM   2 45 1 1    imports (QRM) by EU Member State
YCE   2 45 1 1    employment (YRE) by EU Member State
YCPR  2 45 1 1    labour productivity (gross output YRPR) by EU Member State
COYM 45  0 1 1    Member-State value-added market prices (YRM)
EGDP 35  0 4 1    EU area GDP exp. measure, market prices, bn(95)euro (RGDP)
EESV 35  0 6 1    EU area energy share in value added %
EESE 35  0 6 1    EU area energy share in employment %
EMSV 35  0 6 1    EU area manufacturing share in value added %
EMSE 35  0 6 1    EU area manufacturing share in employment %
ESSV 35  0 6 1    EU area services share in value added %
ESSE 35  0 6 1    EU area services share in employment %
EYR  35  2 1 1    sector gross output, billion(95)euro (total in col32)
EYRE 35  2 4 1    sector employment, thousands (total in col32)
EYUL 35  2 4 1    sector unit labour costs (euro/unit output)
EQXS 35  2 6 1    sector % shares of exports in total output 100*(QRX/QR)
EQMS 35  2 6 1    sector % shares of imports in domestic demand 100*(QRM/QRD)
EQIS 35  2 6 1    sector % shares of intra-EU exports in output 100*(QIX/QR)
ORB  17  1 4 1    EU product supply and demand balances by region bn(95)euro
OQB  17  2 4 1    EU product supply and demand balances by sector bn(95)euro
YRM   2  1 1 1    industry value-added at market prices
YRM1  2  1 1 1    lagged industry value-added at market prices
YRMR  2  1 6 1    residuals for YRM
YRXR  2  1 6 1    tax ratios industry value-added (YRM/YRFA)
YRMA  2  1 1 1    actual values YRM
YMEU  2  0 1 1    EU industry value-added at market prices
RYM   1  0 1 1    total industry value-added at market prices
RYM1  1  0 1 1    lagged 1 year total industry value-added at market prices
RYM2  1  0 1 1    lagged 2 years total industry value-added at market prices
RYM3  1  0 1 1    lagged 3 years total industry value-added at market prices
EUYM  5  0 1 1    EU total industry value-added at market prices
YRF   2  1 1 1    industry value-added at factor costs
YRFL  2  1 1 1    lagged industry value-added at factor costs
RYRF  1  2 1 1    industry value-added at factor costs (dims switched)
YFEU  2  0 1 1    EU industry value-added at factor costs (from YRF)
YFEL  2  0 1 1    lagged YFEU
RYF   1  0 1 1    total industry value-added at factor costs (from YRF)
RYFL  1  0 1 1    lagged RYF
EUYF  5  0 1 1    EU total industry value-added at factor costs
PYRM  2  1 3 1    prices of industry value-added at market prices (lc)
PYR1  2  1 3 1    lagged PYRM
PHEU  2  0 3 1    EU prices of domestic sales to domestic market (from PYH)
PRYM  1  0 3 1    prices of total industry value-added at market prices
PRY1  1  0 3 1    lagged PRYM
PRY2  1  0 3 1    lagged PRY1
PRY3  1  0 3 1    lagged PRY2
PYFA  2  1 3 1    actual values of PYRF
PYMA  2  1 3 1    actual values of PYRM
PYRF  2  1 3 1    prices of industry value-added at factor costs (lc)
PYFE  2  0 3 1    EU prices of industry value-added at factor costs
PRYF  1  0 3 1    prices of total industry value-added at factor costs
PRYL  1  0 3 1    lagged PRYF
PYFR  2  1 3 1    residuals for PYRF
PYMR  2  1 3 1    residuals for PYRM
YRQ0  2  1 1 1    all industry inputs of products
YRQ2  2  1 1 1    industry inputs of products, sector 2 (coal)
YRQ9  2  1 1 1    industry inputs of products, sector 9 (man fuels)
YRQE  2  1 1 1    industry inputs of products, sector 22 (electricity)
YRQG  2  1 1 1    industry inputs of products, sector 23 (gas supply)
YRQW  2  1 1 1    industry inputs of products, sector 24 (water supply)
YEEU  2  0 4 1    EU industry employment (employees+self-employed) (from YRE)
YEEL  2  0 4 1    lagged YEEU
YRE   2  1 4 1    industry employment (employees+self-employed)
YRE1  2  1 4 1    industry employment lagged 1 year
YREE  2  1 4 1    industrial employees
YREL  2  1 4 1    industrial employees lagged 1 year
DYRE  2  1 4 1    add. exog. % change in YRE (ie BYRE(.,.,1)+(DYRE(.,.)/100))
YEEE  2  0 4 1    EU industrial employees
YREW  2  1 6 1    share of male employees in YRE (but used to calib YREE)
YREX  2  1 6 1    exogenous change in employment (addition)
YRH   2  1 6 1    average hours worked per week in industry
YRH1  2  1 6 1    average hours worked lagged 1 year
YRNH  2  1 6 1    standard hours worked in industry
YRHX  2  1 6 1    exogenous increase in hours worked (%)
YRW   2  1 6 1    ave. earnings by ind. th. euros per person year
YRW1  2  1 6 1    YRW lagged one year
YRWX  2  1 6 1    exogenous change in average earning (%)
LYRW  2  1 6 1    ln(YRW)
LYWE  2  1 6 1    ln(external industry real wage rates (same region)) c/f YRW
LYXE  2  1 6 1    ln(external regional real wage rates (same industry)) c/f YRW
LYWA  2  1 6 1    actual or calibrated LYWE
LYXA  2  1 6 1    actual or calibrated LYXE
LYRP  2  1 6 1    ln(adjusted labour productivity) defined in YRW.FOR
YRPR  2  1 6 1    labour productivity: gross output per 000 head (YR/YRE)
YRPY  2  1 6 1    labour productivity: value-added per 000 head (YRM/YRE)
YPRE  2  0 6 1    EU labour productivity: gross output per 000 head (QR/YRE)
YRPX  2  1 6 1    exog. change in labour productivity (YRPR/laggedYRPR) (eg ave 1988-95 ave)
RYWA  1  0 6 1    ave. earnings th. euro per person-year
YWEU  2  0 6 1    EU ave. earnings th. euro per person-year
YRWS  2  1 2 1    industrial wages and salaries
YWS1  2  1 2 1    lagged YRWS
YRLC  2  1 2 1    industrial total labour costs
LYLC  2  1 2 1    ln((YRLC*EX)/(.001*YREE*PYR))
YRUM  2  1 6 1    industrial unit material and service costs (lc/unit output)
YRUT  2  1 6 1    industrial unit tax and residual costs (lc/unit output)
YRUL  2  1 6 1    industrial unit labour costs (lc/unit output)
YRUC  2  1 6 1    industrial unit costs (lc/unit output)
YUEU  2  0 6 1    EU industrial unit costs (euro/unit output)
YEUL  2  0 6 1    EU labour unit costs (euro/unit output)
YEUM  2  0 6 1    EU materials unit costs (euro/unit output)
YEUT  2  0 6 1    EU net tax unit costs (euro/unit output)
YRP   2  1 2 1    industry profits
RYPT  1  0 1 1    real total industry profits (using PSC deflator)
YPEU  2  0 1 1    EUR-19 real total industry profits (using PSC deflator)
RYPE  1  0 1 1    real energy industry profits (2-6 and 8-10 on PSC deflator)
YRDS  2  1 1 1 1  R&D spend (OECD data) meu, 2005 prices
YDS   2  0 1 1    EU sector R&D spend (OECD data) meu, 2005 prices
YRDX  2  1 1 1 1  additional R&D spend as % of YRDS (in %)
RRDS  1  0 1 1    R&D spend (OECD data) meu, 1995 prices
YREV  2  1 2 1    value of energy inputs meu
RRDE  1  0 1 1 1  regional government R&D on energy-saving meu, 1995 prices
YRQV  2  1 2 1    industrial absorptions of products
YRFA  2  1 1 1    actual values industry value-added factor cost, YRF
YRFR  2  1 6 1    residuals for YRF
SR    7  1 1 1    stockbuilding by sector of destination (disabled HP 27/06/08)
PYR   2  1 3 1    prices of industry outputs (local currency)
PRYR  1  0 3 1    regional prices of industry outputs (lc)
PYRE  2  1 3 1    prices of all energy inputs for each industry (local currency)
YRT0  2  1 2 1    residual unidentified taxes etc paid by industries
YTRR  2  1 6 1    ratio of residual unidentified taxes etc to output
YRT   2  1 2 1    product taxes and costs of emission permits for industry
YTEU  2  0 2 1    EUR-19 product taxes & costs of emission permits for industry
YRTR  2  1 6 1    indirect tax rates on industries
YRTZ  2  1 6 1    indirect tax rates on industries base year
YRTB  2  1 1 1    net taxes on products, interm. cons. by industry
YRVA  2  1 2 1    value-added in industries at factor cost
CR    3  1 1 1    consumers' expenditures
CR1   3  1 1 1    lagged consumers' expenditures
CRWT  3  1 6 1    weights for Rotterdam system for CR
CEU   3  0 1 1    EU consumers' expenditures
CRX   3  1 1 1 1  additional exogenous consumers' expenditures (addition)
PCR   3  1 3 1    prices of consumers' expenditures (local currency)
PCR1  3  1 3 1    lagged PCR
PCEU  3  0 3 1    EU prices of consumers' expenditures
CRT   3  1 2 1    product taxes on consumers' expenditure (incl costs of emission permits)
CRTR  3  1 6 1    indirect tax rates consumers' exp.
CRTZ  3  1 6 1    indirect tax rates consumers' exp. base year
CRVD  3  1 6 1    consumers' exp. VAT differentials (standard rate=1)
CRDR  3  1 6 1    distribution margins for consumers expenditures
SERE 93  1 2 1    socio-economic group total expenditure 2005 euro/person/year (2005epy)
RADE  1  0 6 1    ratio of total adult equivalents to total population
RSEP  1  0 2 1    regional lump-sum payments per adult-equivalent
PSE  93  1 6 1    price index socio-economic group exp total 2005=1
PCE  94  1 6 1    price index for consumer's expenditure(2005=1)
SERI 93  1 2 1    socio-economic group incomes  epy
SRRI 93  1 2 1    socio-economic group real incomes  (2005epy)
SERR 93  1 2 1    adjustment for SERI
SRWC 93  1 6 1    socio-economic group wage coefficients
SRBC 93  1 6 1    socio-economic group benefit (social security) coefficients
SRPC 93  1 6 1    socio-economic group pension coefficients
SRRC 93  1 6 1    socio-economic group residual income coefficients
SRTC 93  1 6 1    socio-economic group tax and social sec deduction coefficients
GR    4  1 1 1    government current expenditure
PGR   4  1 3 1    prices of gov. cur. exp. (local currency)
GRT   4  1 2 1    product taxes on gov. cur. exp.
GRTR  4  1 6 1    indirect tax rates gov. cur. exp.
GRTZ  4  1 6 1    indirect tax rates government exp. base year
GRW   4  1 2 1    value-added in government current exp.
GRM   4  1 1 1    government direct imports
GRZ   4  1 1 1    government absorptions of other activities
RR    5  1 2 1    receipts and payments in aggregate
RHR   5  1 2 1    inst. receipts classified by form of receipt
RHP   5  1 2 1    inst. payments classified by form of payment
IR   23  1 2 1    financial institutions financial surpluses
HR    6  1 2 1    institutional financial surpluses
VR    8  1 1 1    investment by asset
VRTR  8  1 1 1    indirect tax rates on ind. capital expenditure by asset
VRA   8  1 1 1    actual values VR
PVR   8  1 3 1    price of investment by asset (local currency)
PVRL  8  1 3 1    PVR lagged one year
MR   11  1 1 1    imports by import group
PMF  11  0 3 1 1  prices of import groups in $ (2005=1.000)
PMFL 11  0 3 1 1  prices of import groups in $ (2005=1.000)
PM   11  0 3 1    prices of import groups in euro (2005=1.000)
PML  11  0 3 1    lagged prices of import groups in euro (2005=1.000)
PMFA 11  0 3 1    actual prices of import groups in $ (2005=1.000)
PMFR 11  0 3 1    additive residuals of actual prices of import groups in $ (2005=1.000)
JPMF 11  0 1 1    switches for  prices of import groups
LGR  71  1 4 1 1  labour force by gender
LGR1 71  1 4 1    lagged labour force by gender
LGEU 71  0 4 1 1  EU labour force by gender
PER   1  0 6 1    wage rates by type of labour ` per year (disabled HP 27/06/08)
PER1  1  0 6 1    wage rates lagged 1 year ` per year
LRP  71  1 6 1    labour participation rate (LGR(1,J)/PAR(3,J))
LRP1 71  1 6 1    LRP lagged one period
LRPA 71  1 6 1    actual value LRP
LRPR 71  1 6 1    residual for LRP
LPEU 71  0 6 1    EU labour participation rates
TR   14  1 2 1    product tax revenues by type
TREU 14  0 2 1    EU product tax revenues by type
TRX  14  1 2 1    product tax revenues exports
TRY  14  1 2 1    product tax revenues industries
TRC  14  1 2 1    product tax revenues consumers' exp.
TRG  14  1 2 1    product tax revenues government exp.
TRK  14  1 2 1    product tax revenues investing sector
TRM  14  1 2 1    indirect tax revenues imports
WWPI 15  0 3 1 1  non-EU area wholesale price index local currency
PWL0 15  0 3 1    domestic prices by non-Europe export area euro
WD1  15  0 3 1 1  non-EU aggregate demand measure (actual value)
WRXB 15  0 6 1    WREX in base year
REX   1  0 6 1 1  EU local currency per euro rates
REXB  1  0 6 1 1  RZEX in base year
EX    1  0 6 1 1  EU local currency per euro, 2005=1.0
EX1   1  0 6 1 1  lagged EX
WREX 15  0 6 1 1  World exchange rates
RSR   1  0 6 1 1  Short-run interest rates (not %)
RSR1  1  0 6 1 1  lagged 1 year short-run interest rates (not %)
RLR   1  0 6 1 1  EU long-run interest rates (not %)
RRLR  1  0 6 1 1  real RLR as exp(log(1+RZLR)-log(PRSC/PSC1)) (see RSC.FOR)
KR    2  1 1 1    investment by investing sector
KR1   2  1 1 1    investment lagged 1 year
KEU   2  0 1 1    EU investment by investing sector
KRX   2  1 1 1 1  additional exogenous investment by investing sector (addition)
KRY   2  1 6 1    investment-output ratios (KR/YR, dwelling/RSC r41, RSK/RSQ r42)
YRKE  2  1 1 1    cumulated KR enhanced by YRDS
YRKL  2  1 1 1    lagged YRKE
YRKA  2  1 1 1    actual YRKE
YRKC  2  1 1 1    cumulated ICT-Investment
YKCL  2  1 1 1    lagged YRKC
YKCA  2  1 1 1    actual YRKC
YRKN  2  1 1 1    cumulated Non-ICT-Investment
YKNL  2  1 1 1    lagged YRKN
YKNA  2  1 1 1    actual YRKN
YRKS  2  1 4 1    Skills, Stock of Tertiary Education
YKSL  2  1 4 1    lagged YRKS
KQC  16  1 1 1    Investment in ITC technology
KQCA 16  1 1 1    Actual investment in ITC technology
KQNX 16  1 1 1    Exogenous investment in non-ITC technology
KQNA 16  1 1 1    Actual investment in non-ITC technology
KQN  16  1 1 1    Investment in non-ITC technology
RKE   1  0 1 1    cumulated KR enhanced by YRDS
YKEU  2  0 1 1    EU cumulated KR enhanced by YRDS
YT1   2  0 1 1    lag on YRKL in calculating YRKE
YT2   2  1 1 1    enhancement factor on YRDS in calculating YRKE
KRT  16  1 2 1    product taxes paid by investing sector
KRTR 16  1 6 1    indirect tax rates investment expenditure
PKEU 16  0 3 1    EU prices of investment by sector
PKR  16  1 3 1    prices of investment by sector (local currency)
FSOC 44  1 6 1    other coal fuel shares
FSCO 44  1 6 1    crude oil fuel shares
FSMD 44  1 6 1    middle distillates fuel shares
FSOG 44  1 6 1    other gas fuel shares
FSHE 44  1 6 1    heat fuel shares
FSCW 44  1 6 1    combustible waste fuel shares
FSBF 44  1 6 1    biofuel fuel shares
FSHY 44  1 6 1    hydrogen fuel shares
FR0  44  1 4 1    total fuel use for energy, in thousand toe
FR0L 44  1 4 1    lagged FR0 (FR01 is actual coal)
FR0A 44  1 4 1    actuals for total fuel use for energy, in thousand toe
FRJT 44 19 4 1    fuel use by fuel for region ISWR in thousand toe
RMST  1  0 4 1    regional motor spirit used for road transport in th toe
RDET  1  0 4 1    regional diesel used for road transport in th toe
RULR  1  0 6 1    regional share of unleaded in total motor spirit (=1 all)
EPR  95  1 5 1 3  IEA energy prices incl taxes in euro per toe
EPRT 95  1 5 1 3  IEA total energy taxes in euro per toe
EPRE 95  1 5 1    excise duties on energy in euro per toe
EPRC 95  1 2 1    additional (carbon tax) excise duties on energy in m euro
EPRA 95  1 5 1    additional (c+ e tax) excise duties on energy in euro/toe
EPRP 95  1 5 1    cost of emission permits in euro/toe
EPRR 95  1 6 1    implicit VAT rate on energy in IEA taxes
EPRV 95  1 2 1    value of energy flows in IEA classification (VAT base)
ETSW 95  1 4 1    ADEX exemption by fuel (full exemption=0, full tax=1)
JEDS 19  1 4 1    excise duty exemption share (full exemption=0, full tax=1)
JETS 19  1 4 1    ETS exemption share (full exemption=0, full tax=1)
FEDS 44  1 4 1    excise duty exemption share (full exemption=0, full tax=1)
FETS 44  1 4 1    coverage of emission permit scheme (in scheme=1)
FEPA 44  1 4 1    emission permit allocation =0 before 2005
FEP1 44  1 4 1    emission permit allocation from scenario file (phase 1)
FEP2 44  1 4 1    emission permit allocation from scenario file (phase 2)
FEP3 44  1 4 1    emission permit allocation from scenario file (phase 3)
FEPU 44  1 4 1    emission permit use in th tonnes carbon
FEPN 44  1 4 1    emission permit net trade in th tonnes carbon (FEPA-FEPU)
FEPT 44  1 4 1    emission permit net trade in m euro (FEPA-FEPU)*REPP*.001
FEPV 44  1 2 1    value of allocated (not auctioned) emission permits m euro
YREP  2  1 2 1    value of allocated (not auctioned) emission permits m euro
YPEP  2  0 6 1    implicit permit revenue allocated to prices (=0 to profits)
FRCT 44  1 4 1    coal use for energy, in thousand toe
FRC1 44  1 4 1    lagged coal use for energy, in thousand toe
FRCH 44  1 4 1    exogenous coal use, in thousand toe
FCH1 44  1 4 1    lagged exogenous coal use, in thousand toe
PFRC 44  1 5 1    price of coal use (incl taxes), in euro/toe
PFC1 44  1 5 1    lagged price of coal use (incl taxes), in euro/toe
FRCX 44  1 2 1    tax revenues on solid fuel use in m euros(ex c/e tax)
FRCV 44  1 2 1    costs of permits for solid fuel use in m euros
FROT 44  1 4 1    heavy oil use for energy, in thousand toe
FRO1 44  1 4 1    lagged heavy oil use for energy, in thousand toe
FROH 44  1 4 1    exogenous oil use, in thousand toe
FOH1 44  1 4 1    lagged exogenous oil use, in thousand toe
PFRM 44  1 5 1    price of middle distillates (incl taxes) in euro/toe
PFM1 44  1 5 1    lagged price of middle distillates (incl taxes) in euro/toe
PFRO 44  1 5 1    price of heavy oil use (incl taxes) in euro/toe
PFO1 44  1 5 1    lagged heavy price of oil use (incl taxes) in euro/toe
FROX 44  1 2 1    tax revenues on heavy oil use in m euros (ex c/e tax)
FROV 44  1 2 1    costs of permits for heavy oil use in m euros
FRLX 44  1 2 1    tax revenues on middle distillates use in m euros (ex c/e tax)
FRLV 44  1 2 1    c/e tax revenues on middle distillates use in m euros
FRGT 44  1 4 1    gas use for energy, in thousand toe
FRG1 44  1 4 1    lagged gas use for energy, in thousand toe
FRGH 44  1 4 1    exogenous gas use, in thousand toe
FGH1 44  1 4 1    lagged exogenous gas use, in thousand toe
PFRG 44  1 5 1    price of gas use (including taxes) in euro/tonne
PFG1 44  1 5 1    lagged price of gas use in m euros
FRGX 44  1 2 1    tax revenues on gas use in m euros (ex c/e tax)
FRGV 44  1 2 1    costs of permits for gas use in m euros
FRET 44  1 4 1    electricity use, in thousand toe
FRE1 44  1 4 1    lagged electricity use, in thousand toe
FREH 44  1 4 1    exogenous electricity use, in thousand toe
FEH1 44  1 4 1    lagged exogenous electricity use, in thousand toe
PFRE 44  1 5 1    price of electricity use (incl taxes) in euro/toe
PFE1 44  1 5 1    lagged price of electricity use (incl taxes) in euro/toe
FREX 44  1 2 1    tax revenues on electricity use in m euros (ex c/e tax)
FREV 44  1 2 1    costs of permits for electricity use in m euros
FRPV 44  1 2 1    costs of allowances due to process emissions
FRPX 44  1 2 1    costs of carbon tax due to process emissions
FRBT 44  1 4 1    biofuel use for energy, in thousand toe
FRB1 44  1 4 1    lagged biofuel use for energy, in thousand toe
FRBH 44  1 4 1    exogenous biofuel use, in thousand toe
FBH1 44  1 4 1    lagged exogenous biofuel use, in thousand toe
PFRB 44  1 5 1    price of biofuel use (incl taxes), in euro/toe (set in FRBT.F90)
PFB1 44  1 5 1    lagged price of biofuel use (incl taxes), in euro/toe
PBIO  1  0 5 1    raw data for biofuel prices (single vector for each country)
PFR0 44  1 5 1    ave (across fuels) fuel prices (euros/toe) incl taxes from PFR?
PFR1 44  1 5 1    lagged PFR0
PFRR 44  1 5 1    ratchetted adjusted real PFR0 (see FR0.FOR)
