region,max_rooftop_share,confidence,source_group,basis
TW,0.35,low,GERNAAT_ARCHETYPE,"Inferred from Japan/Korea high-density East Asian archetype in Gernaat et al. 2020, with strong solar resource offset by dense urban form."
ID,0.55,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 Indonesia/Southeast Asia archetype; strong solar resource but dense urban areas and grid constraints reduce the practical ceiling."
AS,0.55,low,GERNAAT_ARCHETYPE,"Rest of ASEAN inferred from Gernaat et al. 2020 Southeast Asia archetype and World Bank-style rooftop technical-potential studies for Vietnam."
OP,0.55,low,GERNAAT_ARCHETYPE,"Rest of OPEC ex Venezuela inferred from Gernaat et al. 2020 Middle East and North Africa archetypes: excellent resource but apartment shares, tariffs, and export limits constrain household rooftop use."
RW,0.45,low,GLOBAL_JOSHI_GERNAAT,"Rest of World inferred from Joshi et al. 2021 global rooftop potential and Gernaat et al. 2020 regional residential-rooftop archetypes; conservative because the aggregate mixes diverse countries."
UE,0.60,medium,GERNAAT_ARCHETYPE,"Ukraine inferred from Gernaat et al. 2020 Ukraine/Russia-region mapping and recent rooftop-resilience literature; good summer resource but cold-season mismatch limits full household self-supply."
SD,0.60,medium,GERNAAT_ARCHETYPE,"Saudi Arabia inferred from Gernaat et al. 2020 Middle East archetype and excellent solar resource, moderated for high cooling loads, roof suitability, and grid/export constraints."
NG,0.55,low,GERNAAT_ARCHETYPE,"Nigeria inferred from Gernaat et al. 2020 Western Africa archetype and high decentralized-PV relevance, moderated for urban density and affordability constraints."
SA,0.60,medium,GERNAAT_ARCHETYPE,"South Africa inferred from Gernaat et al. 2020 Southern Africa archetype and strong solar resource, moderated for income and distribution-network constraints."
ON,0.60,low,GERNAAT_ARCHETYPE,"North Africa OPEC inferred from Gernaat et al. 2020 Northern Africa/Middle East archetypes with excellent solar resource but practical grid and building constraints."
OC,0.50,low,GERNAAT_ARCHETYPE,"Central Africa OPEC inferred from Gernaat et al. 2020 Central/Western Africa archetypes; good resource but lower urban rooftop data quality and grid constraints."
MY,0.50,medium,GERNAAT_ARCHETYPE,"Malaysia inferred from Gernaat et al. 2020 Southeast Asia archetype; high solar resource but dense housing and humid/cloudy conditions moderate the ceiling."
KZ,0.45,low,GERNAAT_ARCHETYPE,"Kazakhstan inferred from Gernaat et al. 2020 Central Asia/Russia-region mapping; good continental solar in some areas but winter mismatch and urban form limit household rooftop supply."
AN,0.60,low,GERNAAT_ARCHETYPE,"Rest North Africa inferred from Gernaat et al. 2020 Northern Africa archetype and strong solar resource, moderated for grid/export and affordability constraints."
AC,0.50,low,GERNAAT_ARCHETYPE,"Rest Central Africa inferred from Gernaat et al. 2020 African regional archetypes; value is conservative because country-level rooftop datasets are sparse."
AW,0.55,low,GERNAAT_ARCHETYPE,"Rest West Africa inferred from Gernaat et al. 2020 Western Africa archetype and high decentralized-PV relevance, moderated for affordability and grid constraints."
AE,0.55,low,GERNAAT_ARCHETYPE,"Rest East Africa inferred from Gernaat et al. 2020 Eastern Africa archetype and high solar resource, moderated for heterogeneous building stock."
ZA,0.60,low,GERNAAT_ARCHETYPE,"Rest South Africa inferred from Gernaat et al. 2020 Southern Africa archetype and strong solar resource, moderated for affordability and distribution limits."
EG,0.60,medium,GERNAAT_ARCHETYPE,"Egypt inferred from Gernaat et al. 2020 Northern Africa/Middle East archetypes and excellent solar resource, moderated for dense urban housing and grid/export constraints."
DC,0.45,low,GERNAAT_ARCHETYPE,"Democratic Republic of Congo inferred from Gernaat et al. 2020 Central Africa archetype; conservative due to sparse rooftop data, lower electrification, and implementation constraints."
KE,0.55,medium,GERNAAT_ARCHETYPE,"Kenya inferred from Gernaat et al. 2020 Eastern Africa archetype and strong decentralized-solar relevance, moderated for affordability and urban roof constraints."
UA,0.60,medium,GERNAAT_ARCHETYPE,"UAE inferred from Gernaat et al. 2020 Middle East archetype and very high solar resource, moderated for high-rise urban form, cooling demand timing, and distribution limits."
PK,0.65,medium,GERNAAT_ARCHETYPE,"Pakistan inferred from Gernaat et al. 2020 Rest of South Asia archetype and strong solar resource; translated to a high household ceiling with practical limits below full self-supply."
